limite,rmspe,quantidade_especialista,fracao_especialista
210532.5882774514,0.2141559244870828,117,0.025010688328345448
202881.69772025172,0.21431391734590657,94,0.020094057289439932
216857.8291135241,0.21438613286006517,141,0.030141085934159897
225128.09864231027,0.2146932112776357,164,0.035057716973065416
250302.3049786179,0.21477909335896656,281,0.06006840530141086
247243.3297129455,0.21480216642198632,258,0.055151774262505344
231359.84143469634,0.2148039112373387,188,0.040188114578879865
236070.18541243966,0.2148885336165757,211,0.04510474561778538
240907.54443433654,0.2148948355341495,234,0.050021376656690895
254858.57569141564,0.21496309909865782,305,0.06519880290722531
258270.7596647678,0.21507580054230138,328,0.07011543394613083
262594.1699261729,0.21514077211820912,351,0.07503206498503634
266443.50658167264,0.21526129607018063,376,0.08037622915775973
268594.06521894305,0.2153246003800792,398,0.08507909362975631
274133.4410389753,0.21541998830376874,445,0.09512612227447627
285030.3605369443,0.21543113473113495,515,0.11008978195810175
271619.5952866491,0.21544602047951675,421,0.08999572466866182
288587.144182866,0.21556682897960736,538,0.11500641299700727
278313.9784136196,0.21557165892636476,468,0.10004275331338179
281408.39687466243,0.21569097869020099,492,0.10517315091919624
291593.0608975044,0.21582415735867927,562,0.12013681060282172
297724.7152418054,0.21583402042100974,609,0.13018383924754168
295272.1963524782,0.21592598770261065,585,0.12505344164172724
301863.83921478863,0.21604917014350375,655,0.14001710132535272
299430.4983225689,0.21606042887180182,632,0.1351004702864472
304514.32502156566,0.21621116290229922,679,0.14514749893116716
307386.9283047327,0.21644139066982798,702,0.15006412997007268
310820.0775191364,0.21669137707165928,725,0.1549807610089782
312663.5874090515,0.2168876586249278,749,0.16011115861479264
315513.45391648856,0.2171064233030185,772,0.16502778965369816
317758.2784143289,0.21734229043226228,796,0.17015818725951262
320329.93742753536,0.21740778355025542,819,0.17507481829841812
323579.0351605185,0.2174964656146121,842,0.17999144933732364
328178.51014750707,0.21775438342293782,889,0.1900384779820436
325809.43640027987,0.21776159119737423,866,0.1851218469431381
330880.7296924919,0.21779488248598494,913,0.19516887558785806
333776.3631428838,0.2178058250679662,936,0.20008550662676358
336624.25936760724,0.21797774142314302,959,0.20500213766566908
338929.3554427979,0.2181939377267611,983,0.21013253527148354
340633.02407896356,0.21837319370780128,1006,0.21504916631038906
343438.1479740059,0.21866051363876268,1029,0.21996579734929458
347994.1514348456,0.2187036767585541,1076,0.23001282599401454
345500.22382984037,0.21873710925599618,1053,0.22509619495510902
