avaliacao,fracao_top,peso_especialista,limite_inferior,limite_superior,quantidade,quantidade_selecionada,rmspe_base,rmspe_gate,ganho_pp
oof_por_fold,0.01,0.1,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.01,0.1,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.01,0.1,1300000,1500000.0,146,0,0.23825782992045527,0.23825782992045527,0.0
oof_por_fold,0.01,0.1,1500000,2000000.0,176,3,0.3017512513534409,0.3018507855338871,-0.009953418044622575
oof_por_fold,0.01,0.1,2000000,inf,194,47,0.3390738711323796,0.3384955632694849,0.057830786289470026
oof_por_fold,0.01,0.2,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.01,0.2,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.01,0.2,1300000,1500000.0,146,0,0.23825782992045527,0.23825782992045527,0.0
oof_por_fold,0.01,0.2,1500000,2000000.0,176,3,0.3017512513534409,0.3019653720021449,-0.021412064870401926
oof_por_fold,0.01,0.2,2000000,inf,194,47,0.3390738711323796,0.33794783769316233,0.11260334392172444
oof_por_fold,0.01,0.25,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.01,0.25,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.01,0.25,1300000,1500000.0,146,0,0.23825782992045527,0.23825782992045527,0.0
oof_por_fold,0.01,0.25,1500000,2000000.0,176,3,0.3017512513534409,0.302028304578346,-0.027705322490512163
oof_por_fold,0.01,0.25,2000000,inf,194,47,0.3390738711323796,0.33768549009120424,0.1388381041175335
oof_por_fold,0.01,0.3333333333333333,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.01,0.3333333333333333,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.01,0.3333333333333333,1300000,1500000.0,146,0,0.23825782992045527,0.23825782992045527,0.0
oof_por_fold,0.01,0.3333333333333333,1500000,2000000.0,176,3,0.3017512513534409,0.3021415387058663,-0.039028735242541135
oof_por_fold,0.01,0.3333333333333333,2000000,inf,194,47,0.3390738711323796,0.3372653657009686,0.18085054314109783
oof_por_fold,0.01,0.5,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.01,0.5,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.01,0.5,1300000,1500000.0,146,0,0.23825782992045527,0.23825782992045527,0.0
oof_por_fold,0.01,0.5,1500000,2000000.0,176,3,0.3017512513534409,0.30239926278476836,-0.06480114313274776
oof_por_fold,0.01,0.5,2000000,inf,194,47,0.3390738711323796,0.33648960641621306,0.2584264716166518
oof_por_fold,0.01,0.75,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.01,0.75,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.01,0.75,1300000,1500000.0,146,0,0.23825782992045527,0.23825782992045527,0.0
oof_por_fold,0.01,0.75,1500000,2000000.0,176,3,0.3017512513534409,0.30286378091853644,-0.11125295650955547
oof_por_fold,0.01,0.75,2000000,inf,194,47,0.3390738711323796,0.335488278645769,0.3585592486610556
oof_por_fold,0.01,1.0,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.01,1.0,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.01,1.0,1300000,1500000.0,146,0,0.23825782992045527,0.23825782992045527,0.0
oof_por_fold,0.01,1.0,1500000,2000000.0,176,3,0.3017512513534409,0.30342142927777804,-0.16701779243371573
oof_por_fold,0.01,1.0,2000000,inf,194,47,0.3390738711323796,0.3346832530405821,0.43906180917974713
oof_por_fold,0.015,0.1,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.015,0.1,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.015,0.1,1300000,1500000.0,146,1,0.23825782992045527,0.23938081343613662,-0.11229835156813528
oof_por_fold,0.015,0.1,1500000,2000000.0,176,5,0.3017512513534409,0.30185961811055045,-0.010836675710956811
oof_por_fold,0.015,0.1,2000000,inf,194,69,0.3390738711323796,0.33807342159281784,0.1000449539561743
oof_por_fold,0.015,0.2,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.015,0.2,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.015,0.2,1300000,1500000.0,146,1,0.23825782992045527,0.2405818223422687,-0.23239924218134145
oof_por_fold,0.015,0.2,1500000,2000000.0,176,5,0.3017512513534409,0.3020021148503547,-0.025086349691383347
oof_por_fold,0.015,0.2,2000000,inf,194,69,0.3390738711323796,0.3371317157341319,0.1942155398247658
oof_por_fold,0.015,0.25,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.015,0.25,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.015,0.25,1300000,1500000.0,146,1,0.23825782992045527,0.2412112250613177,-0.29533951408624304
oof_por_fold,0.015,0.25,1500000,2000000.0,176,5,0.3017512513534409,0.30208614732244254,-0.03348959690016584
oof_por_fold,0.015,0.25,2000000,inf,194,69,0.3390738711323796,0.33668304692376,0.23908242086195797
oof_por_fold,0.015,0.3333333333333333,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.015,0.3333333333333333,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.015,0.3333333333333333,1300000,1500000.0,146,1,0.23825782992045527,0.24230252418945866,-0.40446942690033905
oof_por_fold,0.015,0.3333333333333333,1500000,2000000.0,176,5,0.3017512513534409,0.3022451164877589,-0.04938651343180389
oof_por_fold,0.015,0.3333333333333333,2000000,inf,194,69,0.3390738711323796,0.33596833631743456,0.3105534814945021
oof_por_fold,0.015,0.5,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.015,0.5,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.015,0.5,1300000,1500000.0,146,1,0.23825782992045527,0.24464113698538123,-0.6383307064925958
oof_por_fold,0.015,0.5,1500000,2000000.0,176,5,0.3017512513534409,0.30263384512206015,-0.08825937686192664
oof_por_fold,0.015,0.5,2000000,inf,194,69,0.3390738711323796,0.3346638645483754,0.44100065840042
oof_por_fold,0.015,0.75,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.015,0.75,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.015,0.75,1300000,1500000.0,146,1,0.23825782992045527,0.24852783737070538,-1.0270007450250112
oof_por_fold,0.015,0.75,1500000,2000000.0,176,5,0.3017512513534409,0.30339319227877765,-0.164194092533676
oof_por_fold,0.015,0.75,2000000,inf,194,69,0.3390738711323796,0.33302308408045417,0.605078705192541
oof_por_fold,0.015,1.0,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.015,1.0,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.015,1.0,1300000,1500000.0,146,1,0.23825782992045527,0.252850262454997,-1.4592432534541704
oof_por_fold,0.015,1.0,1500000,2000000.0,176,5,0.3017512513534409,0.304362604679598,-0.261135332615714
oof_por_fold,0.015,1.0,2000000,inf,194,69,0.3390738711323796,0.3317663198305074,0.7307551301872162
oof_por_fold,0.02,0.1,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.02,0.1,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.02,0.1,1300000,1500000.0,146,1,0.23825782992045527,0.23938081343613662,-0.11229835156813528
oof_por_fold,0.02,0.1,1500000,2000000.0,176,7,0.3017512513534409,0.3019506372332729,-0.019938587983203693
oof_por_fold,0.02,0.1,2000000,inf,194,87,0.3390738711323796,0.33744560178204996,0.16282693503296142
oof_por_fold,0.02,0.2,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.02,0.2,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.02,0.2,1300000,1500000.0,146,1,0.23825782992045527,0.2405818223422687,-0.23239924218134145
oof_por_fold,0.02,0.2,1500000,2000000.0,176,7,0.3017512513534409,0.302186566433894,-0.04353150804531358
oof_por_fold,0.02,0.2,2000000,inf,194,87,0.3390738711323796,0.3359009129461897,0.31729581861899003
oof_por_fold,0.02,0.25,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.02,0.25,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.02,0.25,1300000,1500000.0,146,1,0.23825782992045527,0.2412112250613177,-0.29533951408624304
oof_por_fold,0.02,0.25,1500000,2000000.0,176,7,0.3017512513534409,0.3023182085611327,-0.056695720769178726
oof_por_fold,0.02,0.25,2000000,inf,194,87,0.3390738711323796,0.33516027479491983,0.3913596337459746
oof_por_fold,0.02,0.3333333333333333,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.02,0.3333333333333333,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.02,0.3333333333333333,1300000,1500000.0,146,1,0.23825782992045527,0.24230252418945866,-0.40446942690033905
oof_por_fold,0.02,0.3333333333333333,1500000,2000000.0,176,7,0.3017512513534409,0.3025578342037692,-0.08065828503283079
oof_por_fold,0.02,0.3333333333333333,2000000,inf,194,87,0.3390738711323796,0.333973337398312,0.5100533734067603
oof_por_fold,0.02,0.5,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.02,0.5,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.02,0.5,1300000,1500000.0,146,1,0.23825782992045527,0.24464113698538123,-0.6383307064925958
oof_por_fold,0.02,0.5,1500000,2000000.0,176,7,0.3017512513534409,0.3031126945668448,-0.13614432134039234
oof_por_fold,0.02,0.5,2000000,inf,194,87,0.3390738711323796,0.3317796878325652,0.7294183299814405
oof_por_fold,0.02,0.75,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.02,0.75,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.02,0.75,1300000,1500000.0,146,1,0.23825782992045527,0.24852783737070538,-1.0270007450250112
oof_por_fold,0.02,0.75,1500000,2000000.0,176,7,0.3017512513534409,0.30413292625634925,-0.23816749029083595
oof_por_fold,0.02,0.75,2000000,inf,194,87,0.3390738711323796,0.328948543784134,1.012532734824556
oof_por_fold,0.02,1.0,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.02,1.0,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.02,1.0,1300000,1500000.0,146,1,0.23825782992045527,0.252850262454997,-1.4592432534541704
oof_por_fold,0.02,1.0,1500000,2000000.0,176,7,0.3017512513534409,0.3053766410592703,-0.36253897058294293
oof_por_fold,0.02,1.0,2000000,inf,194,87,0.3390738711323796,0.3266811280115364,1.2392743120843153
oof_por_fold,0.025,0.1,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.025,0.1,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.025,0.1,1300000,1500000.0,146,1,0.23825782992045527,0.23938081343613662,-0.11229835156813528
oof_por_fold,0.025,0.1,1500000,2000000.0,176,10,0.3017512513534409,0.3019707459438443,-0.02194945904034351
oof_por_fold,0.025,0.1,2000000,inf,194,109,0.3390738711323796,0.33651288119000855,0.2560989942371028
oof_por_fold,0.025,0.2,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.025,0.2,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.025,0.2,1300000,1500000.0,146,1,0.23825782992045527,0.2405818223422687,-0.23239924218134145
oof_por_fold,0.025,0.2,1500000,2000000.0,176,10,0.3017512513534409,0.3022415245338976,-0.049027318045669066
oof_por_fold,0.025,0.2,2000000,inf,194,109,0.3390738711323796,0.3340746921197142,0.4999179012665389
oof_por_fold,0.025,0.25,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.025,0.25,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.025,0.25,1300000,1500000.0,146,1,0.23825782992045527,0.2412112250613177,-0.29533951408624304
oof_por_fold,0.025,0.25,1500000,2000000.0,176,10,0.3017512513534409,0.30239610329621963,-0.06448519427787458
oof_por_fold,0.025,0.25,2000000,inf,194,109,0.3390738711323796,0.3329024964064763,0.6171374725903289
oof_por_fold,0.025,0.3333333333333333,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.025,0.3333333333333333,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
