limite_preco,quantidade,rmspe
600000,1913,0.3293339796242364
740000,1413,0.23931143862432022
830000,1174,0.20805185864589343
950000,947,0.19376368845368416
1000000,852,0.19245645229145292
1300000,516,0.2206178484210085
1500000,370,0.23214990984512368
2000000,194,0.2515249754516791
