tipo_validacao,chave,peso_correspondencia,cobertura,rmspe,desvio
kfold,completa,0.1,0.20115433946130826,0.23550345740768885,0.0033235420534030026
kfold,completa,0.2,0.20115433946130826,0.23526381394950371,0.0035631515641872526
kfold,completa,0.25,0.20115433946130826,0.23522696052549602,0.00371927112157439
kfold,completa,0.3,0.20115433946130826,0.23524541893963563,0.0038987713277247545
kfold,completa,0.4,0.20115433946130826,0.2354480209584366,0.004324563556582218
kfold,completa,0.5,0.20115433946130826,0.23587071067177937,0.004833287708394069
kfold,completa,0.75,0.20115433946130826,0.2378786652466866,0.0064216330239804656
kfold,completa,1.0,0.20115433946130826,0.24121072764776869,0.008388836954281534
kfold,sem_diferenciais,0.1,0.20970500213766566,0.23542701673886818,0.0033783198593579566
kfold,sem_diferenciais,0.2,0.20970500213766566,0.23512476463698634,0.003672175965069292
kfold,sem_diferenciais,0.25,0.20970500213766566,0.23506186305064478,0.003854337687990916
kfold,sem_diferenciais,0.3,0.20970500213766566,0.23505780538890378,0.004058806894369642
kfold,sem_diferenciais,0.4,0.20970500213766566,0.23522602803250026,0.004530660978211573
kfold,sem_diferenciais,0.5,0.20970500213766566,0.23562858996136757,0.005079715573925923
kfold,sem_diferenciais,0.75,0.20970500213766566,0.23764834853103536,0.006743155211392411
kfold,sem_diferenciais,1.0,0.20970500213766566,0.24107899075105585,0.008750482902255418
kfold,estrutural,0.1,0.4595981188542112,0.23459869627353447,0.003526451232216647
kfold,estrutural,0.2,0.4595981188542112,0.23373826877535295,0.003975477480213892
kfold,estrutural,0.25,0.4595981188542112,0.23349906548833016,0.004238347984640084
kfold,estrutural,0.3,0.4595981188542112,0.23338770268046666,0.00452570498625422
kfold,estrutural,0.4,0.4595981188542112,0.23354874419248067,0.0051696622744211934
kfold,estrutural,0.5,0.4595981188542112,0.23421979754661587,0.005898119191794133
kfold,estrutural,0.75,0.4595981188542112,0.23808922418756406,0.008024961072899895
kfold,estrutural,1.0,0.4595981188542112,0.244952264214721,0.010473649730730448
bloco_id,completa,0.1,0.18269230769230768,0.21985097630065345,
bloco_id,completa,0.2,0.18269230769230768,0.21962903991969374,
bloco_id,completa,0.25,0.18269230769230768,0.21959633021990782,
bloco_id,completa,0.3,0.18269230769230768,0.21961583632370282,
bloco_id,completa,0.4,0.18269230769230768,0.219811403127066,
bloco_id,completa,0.5,0.18269230769230768,0.22021518412143318,
bloco_id,completa,0.75,0.18269230769230768,0.22212668140461955,
bloco_id,completa,1.0,0.18269230769230768,0.2252979229123712,
bloco_id,sem_diferenciais,0.1,0.1955128205128205,0.21971826428655022,
bloco_id,sem_diferenciais,0.2,0.1955128205128205,0.21938233706647703,
bloco_id,sem_diferenciais,0.25,0.1955128205128205,0.2192997853314931,
bloco_id,sem_diferenciais,0.3,0.1955128205128205,0.21927427538139685,
bloco_id,sem_diferenciais,0.4,0.1955128205128205,0.21939441593385253,
bloco_id,sem_diferenciais,0.5,0.1955128205128205,0.21974238442664681,
bloco_id,sem_diferenciais,0.75,0.1955128205128205,0.22160028063673443,
bloco_id,sem_diferenciais,1.0,0.1955128205128205,0.22483839183011564,
bloco_id,estrutural,0.1,0.4358974358974359,0.21918201474662152,
bloco_id,estrutural,0.2,0.4358974358974359,0.21856585298098824,
bloco_id,estrutural,0.25,0.4358974358974359,0.21844023827666728,
bloco_id,estrutural,0.3,0.4358974358974359,0.21843661524531074,
bloco_id,estrutural,0.4,0.4358974358974359,0.21879516438886637,
bloco_id,estrutural,0.5,0.4358974358974359,0.21963911156639745,
bloco_id,estrutural,0.75,0.4358974358974359,0.22382879678673892,
bloco_id,estrutural,1.0,0.4358974358974359,0.2308465085773138,
