iterations,learning_rate,depth,l2_leaf_reg,random_strength,bootstrap_type,bagging_temperature,boosting_type,nome,target,alpha,rmspe_ate_355k,rmspe_ate_355k_calibrado_cf,fator_calibracao_final,fator_calibracao_min_fold,fator_calibracao_max_fold,media_razao_previsto_real_ate_355k,duracao_cv_segundos
800,0.03,7,5.0,1.0,Bayesian,1.0,Ordered,log_a200_d7_i800,log,2.0,0.21208168492008103,0.19176557608018807,0.9150989134657831,0.9095750196896984,0.9179424948982435,1.0526876601396875,286.89173540000775
1000,0.03,6,10.0,1.0,Bayesian,1.0,Ordered,log_a200_d6_l2_10,log,2.0,0.2119502557300069,0.1923923838697887,0.916492964401868,0.9109373091372689,0.9193497425387231,1.0508237922757577,267.4032514999999
1200,0.03,5,5.0,1.0,Bayesian,1.0,Ordered,log_a200_d5_i1200,log,2.0,0.2127353801005636,0.19315145798738576,0.9162789503629196,0.9105666524095328,0.9186280730912063,1.0507515646710097,239.85762350000005
