limite_preco,quantidade,rmspe
600000,1913,0.3276152539207442
740000,1413,0.23908298608152462
830000,1174,0.20813589283680287
950000,947,0.19393589091535007
1000000,852,0.19244567817609684
1300000,516,0.2201578034264082
1500000,370,0.23176916372164102
2000000,194,0.2508265833370971
