alpha,modelo,rmspe_medio_15_folds,desvio_15_folds,melhor_media_semente,pior_media_semente,amplitude_entre_sementes,rmspe_bloco_id
1.75,blend_50,0.215030870781423,0.005419460745615654,0.21319938618919446,0.21674078124217738,0.0035413950529829263,0.21203098487328995
1.5,blend_50,0.21508045228756018,0.0057040420468164295,0.21315563632431664,0.21669855076047817,0.0035429144361615317,0.20909500645047116
1.25,blend_50,0.21584018335947963,0.006126191969444539,0.2146054396683792,0.21749334574340526,0.0028879060750260643,0.20852367743133576
1.75,lightgbm,0.21645202382157563,0.005673900592113662,0.21482070275286297,0.21825165646418912,0.0034309537113261512,0.21219671236781923
1.5,lightgbm,0.21679560672664466,0.005751007351862983,0.2145014003045329,0.21837167050313613,0.003870270198603226,0.20944276589719127
1.25,lightgbm,0.2175073261903623,0.005858022372364492,0.21636248560100277,0.2192057778885951,0.002843292287592336,0.20835466016144275
1.5,xgboost,0.2154858122870539,0.005693667911234362,0.21386307719343547,0.2171607563276305,0.003297679134195014,0.21086855901812868
1.75,xgboost,0.21587520512855157,0.00534595550133807,0.2138970599629632,0.21752492573840398,0.003627865775440775,0.21395009059105563
1.25,xgboost,0.21626068780883814,0.006888799772529437,0.21487989335106353,0.2179775989455392,0.0030977055944756693,0.2104870800270087
