estrategia,limite_inferior,limite_superior,quantidade,rmspe_base,rmspe_juiz,ganho_pp,peso_medio
continuo_q99_livre,0,740000.0,3265,0.19718272006755883,0.2007592855668594,-0.3576565499300577,0.0023162502689360745
continuo_q99_livre,740000,900000.0,392,0.1948628831799081,0.20446176254591497,-0.9598879366006868,0.034165663094258274
continuo_q99_livre,900000,1000000.0,169,0.21172608688476616,0.2150500700751591,-0.3323983190392954,0.11612590001985391
continuo_q99_livre,1000000,1300000.0,336,0.2065767268927747,0.20158748373408863,0.49892431586860686,0.16286014602407256
continuo_q99_livre,1300000,1500000.0,146,0.23825782992045527,0.23007214642182944,0.8185683498625834,0.25700986926149033
continuo_q99_livre,1500000,2000000.0,176,0.3017512513534409,0.28389007457898496,1.7861176774455922,0.2629911968052099
continuo_q99_livre,2000000,inf,194,0.3390738711323796,0.3086064587661235,3.0467412366256053,0.347608940284085
continuo_q99_gate_faixa,0,740000.0,3265,0.19718272006755883,0.20122015216330005,-0.4037432095741228,0.002154416515127151
continuo_q99_gate_faixa,740000,900000.0,392,0.1948628831799081,0.20519882337780415,-1.033594019789605,0.03251149471984302
continuo_q99_gate_faixa,900000,1000000.0,169,0.21172608688476616,0.21667013302756968,-0.49440461428035265,0.11048801326356487
continuo_q99_gate_faixa,1000000,1300000.0,336,0.2065767268927747,0.20019422685641042,0.6382500036364286,0.19628806615026373
continuo_q99_gate_faixa,1300000,1500000.0,146,0.23825782992045527,0.2279793478867452,1.0278482033710068,0.3322146898830876
continuo_q99_gate_faixa,1500000,2000000.0,176,0.3017512513534409,0.2771245557419723,2.4626695611468574,0.36749772568337014
continuo_q99_gate_faixa,2000000,inf,194,0.3390738711323796,0.29845617225680354,4.061769887557603,0.4688623632774728
continuo_q99_gate_preco,0,740000.0,3265,0.19718272006755883,0.19953004020381376,-0.23473201362549379,0.001366570660235649
continuo_q99_gate_preco,740000,900000.0,392,0.1948628831799081,0.19972033780277584,-0.48574546228677407,0.015693193876935158
continuo_q99_gate_preco,900000,1000000.0,169,0.21172608688476616,0.2079799668070863,0.3746120077679854,0.05714667285812523
continuo_q99_gate_preco,1000000,1300000.0,336,0.2065767268927747,0.2062382404484259,0.03384864443488067,0.09379867181637433
