etapa,valor,rmspe_cv,desvio_rmspe_cv,rmspe_treino,folds_vencidos,rmspe_fold_1,rmspe_fold_2,rmspe_fold_3,rmspe_fold_4,rmspe_fold_5
cat_smooth,1.0,0.23545265310200786,0.014681738462795335,0.1776399617083587,1,0.2416577369385242,0.26071708978469044,0.2191947167654034,0.2246099060727339,0.2310838159486874
cat_smooth,5.0,0.23461951982718815,0.014915947010674883,0.17884386391464577,2,0.24157021198196107,0.26019390358090766,0.21796116841612578,0.22485735941571003,0.22851495574123604
cat_smooth,10.0,0.23393099645935642,0.01369406836100629,0.17970787291377613,0,0.24240181296406915,0.2564117362093343,0.21885456243936885,0.22409731645406566,0.22788955422994417
cat_smooth,20.0,0.2360523782344611,0.01322656787387617,0.18182884474666688,1,0.24224767082818355,0.2578550671841206,0.2191980783364381,0.22775901692731207,0.23320205789625104
cat_smooth,50.0,0.23866182949180978,0.014507417491968945,0.18731012649009898,0,0.24463275601415857,0.26297603714378764,0.2213756558632852,0.22756915491638424,0.23675554352143321
cat_smooth,100.0,0.24885016367746032,0.01499488785995607,0.19871999619842037,0,0.24979176609507586,0.27575933157788896,0.23622794012544077,0.23336288160153668,0.2491088989873593
cat_l2,0.0,0.2352441671790418,0.01451823680992016,0.1800344938460887,1,0.24341910417552529,0.2592767779545002,0.21865498602277142,0.22495179988113062,0.22991816786128166
cat_l2,1.0,0.23563412238598222,0.014448835654003256,0.17938736206136435,1,0.24411538239619032,0.2591831451267127,0.21864827631325306,0.22531284071345617,0.2309109673802989
cat_l2,5.0,0.2353913552689117,0.01581546954441448,0.179652119325658,2,0.24398085633891176,0.26194155705745703,0.21843910292802168,0.22320068770256443,0.22939457231760355
cat_l2,10.0,0.23393099645935642,0.01369406836100629,0.17970787291377613,0,0.24240181296406915,0.2564117362093343,0.21885456243936885,0.22409731645406566,0.22788955422994417
cat_l2,20.0,0.23540745790536244,0.014819336159675704,0.17981352853233917,2,0.24516317325216258,0.2590230077855498,0.2186511824081963,0.2234672139025409,0.23073271217836255
cat_l2,50.0,0.23546942514954244,0.014986349679448003,0.18052995455688597,1,0.24683832294316654,0.25884891269336247,0.21916688198793227,0.22387968674760447,0.2286133213756464
min_data_per_group,10.0,0.23409223569995907,0.014135825601597105,0.17966651058349511,2,0.24163497606093343,0.25773099196064164,0.2179919498339753,0.22426215073126607,0.22884110991297885
min_data_per_group,20.0,0.2343887253572849,0.015340267676359372,0.17971778007061825,3,0.2411477117458244,0.2606086274455175,0.2178368591643071,0.22201804604652353,0.23033238238425197
min_data_per_group,50.0,0.23418071889986458,0.014623063040909224,0.1797714182720528,2,0.24274983558371938,0.2584177098447097,0.2182851514272054,0.22320988494592964,0.22824101269775895
min_data_per_group,100.0,0.23393099645935642,0.01369406836100629,0.17970787291377613,0,0.24240181296406915,0.2564117362093343,0.21885456243936885,0.22409731645406566,0.22788955422994417
min_data_per_group,200.0,0.23501001247865466,0.014274151741718885,0.17901698427193496,1,0.24326176775329314,0.25817554072247195,0.2178945285342485,0.22479208239987425,0.23092614298338543
max_cat_threshold,8.0,0.23409015335403494,0.014623427051559034,0.1820812026442933,2,0.24111115560178492,0.2590101069567339,0.21757590475870772,0.2244777896551624,0.22827580979778583
max_cat_threshold,16.0,0.2343744572218447,0.01446670463332864,0.1805202493966947,1,0.24289513839034715,0.258335871983138,0.21823776239063808,0.2245139591151559,0.22788955422994417
max_cat_threshold,32.0,0.23393099645935642,0.01369406836100629,0.17970787291377613,0,0.24240181296406915,0.2564117362093343,0.21885456243936885,0.22409731645406566,0.22788955422994417
max_cat_threshold,64.0,0.23393099645935642,0.01369406836100629,0.17970787291377613,0,0.24240181296406915,0.2564117362093343,0.21885456243936885,0.22409731645406566,0.22788955422994417
n_estimators,400.0,0.2335476099762816,0.011741325309551971,0.195892494182973,2,0.2416295962241773,0.251897654636153,0.21902543569531757,0.22594418672643282,0.22924117659932744
n_estimators,600.0,0.2333805716464999,0.012780713031016728,0.18678963115284952,3,0.24149842966248994,0.25402199945976595,0.21851195249706223,0.22453605148692,0.22833442512626118
n_estimators,800.0,0.23393099645935642,0.01369406836100629,0.17970787291377613,0,0.24240181296406915,0.2564117362093343,0.21885456243936885,0.22409731645406566,0.22788955422994417
n_estimators,1000.0,0.23445605482105414,0.014528184164387515,0.17337053520176873,2,0.24211920694049058,0.2591657211365437,0.21901650663537783,0.22452284257631974,0.22745599681653894
n_estimators,1200.0,0.2348790772022898,0.014867235943369294,0.16754915313905078,1,0.24355791273375976,0.25984903875253385,0.2194205135199343,0.22479834640645563,0.22676957459876548
n_estimators,1600.0,0.236807760313906,0.015650331960912034,0.15889388650255518,0,0.24478982900573223,0.26355736113560835,0.21985692780384683,0.22792377050647003,0.22791091311787262
