mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rmspe_cv,desvio_rmspe_cv,rmspe_treino
0.2844851493835449,0.016545721732336684,0.03000340461730957,0.004441949305426002,0.75,0.1,0.3,31,300,20,7,0.05,0.8,"{'subsample': 0.75, 'reg_lambda': 0.1, 'reg_alpha': 0.3, 'num_leaves': 31, 'n_estimators': 300, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.24158798431340217,-0.2583039025033077,-0.22306562549921585,-0.22178320232976143,-0.24401368396442838,-0.23775087972202313,0.013762239984564275,1,-0.18820519924428722,-0.18410981093749326,-0.18766100961099988,-0.18635133196537162,-0.18980771638976357,-0.1872270136295831,0.0019125374425464927,0.23775087972202313,0.013762239984564275,0.1872270136295831
0.820111608505249,0.026863914554770295,0.07159438133239746,0.01042192841458201,1.0,0.0,0.1,45,450,10,-1,0.015,0.7,"{'subsample': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.1, 'num_leaves': 45, 'n_estimators': 450, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.015, 'colsample_bytree': 0.7}",-0.24814367817424812,-0.25725391699515826,-0.22065110771452529,-0.2258847609515527,-0.24000605689434024,-0.23838790414596495,0.013598842034704533,2,-0.17230044954343318,-0.1711692410599124,-0.17352939717976604,-0.1739157157310359,-0.17420982078919822,-0.17302492486066917,0.0011331730592088443,0.23838790414596495,0.013598842034704533,0.17302492486066917
0.40039849281311035,0.037882968529664454,0.035725736618041994,0.009656083775557454,0.65,0.1,0.3,20,600,10,4,0.035,0.7,"{'subsample': 0.65, 'reg_lambda': 0.1, 'reg_alpha': 0.3, 'num_leaves': 20, 'n_estimators': 600, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.035, 'colsample_bytree': 0.7}",-0.24348071966502158,-0.256730926097324,-0.22258011478371034,-0.22471729958274994,-0.24479001921081317,-0.2384598158679238,0.012962531224179716,3,-0.19807974362946665,-0.19766783170157054,-0.20009569597209678,-0.2000018305404372,-0.20044209035692367,-0.19925743844009897,0.0011466481677654,0.2384598158679238,0.012962531224179716,0.19925743844009897
0.6879509449005127,0.04058776433026108,0.09051060676574707,0.009456948195643338,0.85,0.1,0.1,20,1000,30,5,0.035,0.9,"{'subsample': 0.85, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 20, 'n_estimators': 1000, 'min_child_samples': 30, 'max_depth': 5, 'learning_rate': 0.035, 'colsample_bytree': 0.9}",-0.2410123170039415,-0.26209634763332224,-0.22535447224115712,-0.22335600183915827,-0.24051833172971235,-0.2384674940894583,0.013923457318604707,4,-0.18698282148632392,-0.18538258941221333,-0.18742106766987474,-0.18772634897619628,-0.1888461016753818,-0.187271785843998,0.0011278250395793277,0.2384674940894583,0.013923457318604707,0.187271785843998
0.602461576461792,0.046720613800493124,0.08122215270996094,0.01175285154608024,1.0,0.1,0.01,45,1000,30,5,0.035,0.9,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'num_leaves': 45, 'n_estimators': 1000, 'min_child_samples': 30, 'max_depth': 5, 'learning_rate': 0.035, 'colsample_bytree': 0.9}",-0.2450757155095802,-0.2628096380387014,-0.22610323052326903,-0.22472926687245517,-0.2370029547023589,-0.23914416112927292,0.013983404071868473,5,-0.1893479439232467,-0.18786593562241952,-0.18985535998442735,-0.19032478432372496,-0.1911361457903324,-0.1897060339288302,0.0010922051536067887,0.23914416112927292,0.013983404071868473,0.1897060339288302
0.4431748867034912,0.03630613535063054,0.05624270439147949,0.0021462010210000254,0.65,1.0,0.3,12,600,20,-1,0.035,0.9,"{'subsample': 0.65, 'reg_lambda': 1.0, 'reg_alpha': 0.3, 'num_leaves': 12, 'n_estimators': 600, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.035, 'colsample_bytree': 0.9}",-0.24163233557930117,-0.25956423039983006,-0.2259305388684562,-0.2255773732911973,-0.24465276575437617,-0.23947144877863216,0.012740776471562687,6,-0.1954863788657596,-0.19520574101658558,-0.1974442432840021,-0.19638254107418723,-0.19745275799915377,-0.19639433244793764,0.0009444411835282407,0.23947144877863216,0.012740776471562687,0.19639433244793764
0.869849443435669,0.06524617806425885,0.11325840950012207,0.011546642137228039,1.0,10.0,0.3,15,1000,30,-1,0.025,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.3, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 30, 'max_depth': -1, 'learning_rate': 0.025, 'colsample_bytree': 1.0}",-0.24688996467292557,-0.2585848662325399,-0.22543626103259443,-0.22685402788107475,-0.24323177652488343,-0.2401993792688036,0.01255415119217939,7,-0.1938535462971643,-0.18966505408638928,-0.19401908603446477,-0.19272328805708147,-0.1939219584307627,-0.19283658658117253,0.0016542066977192774,0.2401993792688036,0.01255415119217939,0.19283658658117253
0.570219087600708,0.052081074747000265,0.054180908203125,0.0066626115525238745,1.0,3.0,0.05,20,800,30,6,0.035,0.9,"{'subsample': 1.0, 'reg_lambda': 3.0, 'reg_alpha': 0.05, 'num_leaves': 20, 'n_estimators': 800, 'min_child_samples': 30, 'max_depth': 6, 'learning_rate': 0.035, 'colsample_bytree': 0.9}",-0.2474439241156671,-0.26157482040471164,-0.22825238518316532,-0.22619630555208795,-0.23915653599734482,-0.2405247942505954,0.013028950092220699,8,-0.19119930146070685,-0.188396758277298,-0.19201350938553172,-0.19127489510127685,-0.19208856521240492,-0.19099460588744366,0.0013493839979583366,0.2405247942505954,0.013028950092220699,0.19099460588744366
0.3798201560974121,0.02900247144850687,0.0504401683807373,0.004557168778215677,0.75,1.0,0.01,31,800,30,3,0.05,0.7,"{'subsample': 0.75, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 30, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-0.24612089937596304,-0.26032400825790397,-0.22549967705427088,-0.2288867807536633,-0.2434990130230161,-0.24086607569296348,0.012591952866740933,9,-0.2108785718971427,-0.20952687561074393,-0.2125470411423793,-0.21332810514961537,-0.21315386343676393,-0.21188689144732908,0.001463181167304028,0.24086607569296348,0.012591952866740933,0.21188689144732908
0.37008090019226075,0.015363892235908616,0.042942047119140625,0.0054945179579621375,0.85,0.5,0.01,12,600,45,5,0.035,0.8,"{'subsample': 0.85, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'num_leaves': 12, 'n_estimators': 600, 'min_child_samples': 45, 'max_depth': 5, 'learning_rate': 0.035, 'colsample_bytree': 0.8}",-0.2481460257881733,-0.25936138327793,-0.22550648438425575,-0.2289270142941427,-0.24411455178392857,-0.24121109190568607,0.01251790497076067,10,-0.20896245006363873,-0.20869212152373878,-0.21048723070272507,-0.21096839734186623,-0.21166495805605032,-0.21015503153760381,0.0011501438682764878,0.24121109190568607,0.01251790497076067,0.21015503153760381
