faixa,n,rmspe_base,razao_media_base,rmspe_lgb_raw,razao_media_lgb_raw
ate_740k,3265,0.19718272006755883,0.9907484693798363,0.21244412983668542,1.0178500458402684
740k_1m,561,0.20009251920725818,0.9615614573068527,0.20581658012590484,0.9846898760226169
1m_1.3m,336,0.2065767268927747,0.8868261381604319,0.19711318518551643,0.926604180937176
1.3m_2m,322,0.27478633013478543,0.8061127426164809,0.25242157206425003,0.8653828240672375
acima_2m,194,0.3390738711323796,0.7089599912098716,0.29770899318445004,0.7695352184767298
