nome,limite_preco,quantidade,rmspe,rmspe_calibrado_cf
log_a200_d5_i1200,250000,330,0.26768587283896955,0.21744617676803912
log_a200_d5_i1200,300000,695,0.23769095519088074,0.20350332151110093
log_a200_d5_i1200,355000,1178,0.2127353801005636,0.19315145798738576
log_a200_d5_i1200,400000,1657,0.20033319462287452,0.191701988601951
log_a200_d5_i1200,500000,2316,0.19688168591654606,0.200437213794067
log_a200_d5_i1200,830000,3515,0.20628977319360361,0.21587275916205478
log_a200_d7_i800,250000,330,0.26701668359592534,0.21489139569624457
log_a200_d7_i800,300000,695,0.23721931113688968,0.201936255042746
log_a200_d7_i800,355000,1178,0.21208168492008103,0.19176557608018807
log_a200_d7_i800,400000,1657,0.19983732594375747,0.19093489075514167
log_a200_d7_i800,500000,2316,0.19604278750671003,0.19952235017716693
log_a200_d7_i800,830000,3515,0.20459511782657033,0.21455247028522387
log_a200_d6_l2_10,250000,330,0.2662758130160175,0.21597713271370128
log_a200_d6_l2_10,300000,695,0.23652669323133058,0.2025716331332521
log_a200_d6_l2_10,355000,1178,0.2119502557300069,0.1923923838697887
log_a200_d6_l2_10,400000,1657,0.199947003541336,0.19123577052888355
log_a200_d6_l2_10,500000,2316,0.19625500393503248,0.19963668069774282
log_a200_d6_l2_10,830000,3515,0.2054096835779523,0.21462175916639967
