estrategia,rmspe_crossfit_aninhado,ganho_pp_vs_base,peso_medio,peso_mediano,p90_peso,fracao_peso_zero,fracao_peso_acima_05,rmspe_fold_1,ganho_fold_1_pp,rmspe_fold_2,ganho_fold_2_pp,rmspe_fold_3,ganho_fold_3_pp,rmspe_fold_4,ganho_fold_4_pp,rmspe_fold_5,ganho_fold_5_pp,duracao_busca_segundos
preco_puro,0.21042502268886815,0.16332214565901726,0.04845663339000932,9.067190373333463e-09,0.0070449453131163076,0.0,0.05087644292432664,0.20908613448123473,0.24769886438446298,0.21645752938999435,0.2593680989901509,0.20750186901050785,0.17487171929096712,0.20350283597179458,0.0499101979419464,0.21529352159088833,0.08008405184614376,67.2105545999948
utilidade_gate_faixa,0.21068711311699176,0.137113102846656,0.07858968776016455,7.916359293070102e-19,0.40539047977563103,0.0,0.07652843095339888,0.21107582357388535,0.04872995511940037,0.21439545961444195,0.4655750765453909,0.20767287444955604,0.15777117538614827,0.206399082433418,-0.23971444822039611,0.21377035617184817,0.23240059375015942,67.2105545999948
faixa_pura,0.21085075561887545,0.12074885265828672,0.06383449371434956,1.4840787204259034e-13,0.34530178551684126,0.0,0.0,0.21080676670923226,0.07563564158470926,0.21674962081929264,0.23015895606032233,0.20793880125144007,0.13117849519774516,0.20514299963751276,-0.11410616862987111,0.2134168356690027,0.267752644034705,67.2105545999948
continuo_q95_gate_preco,0.2110741865966626,0.09840575487957137,0.06076850401428895,8.865727217541743e-09,0.10903973487214462,0.20094057289439932,0.053655408294142795,0.2107157505729582,0.08473725521211672,0.21598274267696035,0.3068467702935507,0.20765678609895516,0.15938001044623618,0.20561458560703313,-0.16126476558190883,0.21520371772213287,0.08906443872168934,67.2105545999948
continuo_q99_gate_faixa_preco,0.21108746877041967,0.09707753750386461,0.06913605841067208,1.6500426979572569e-09,0.2295472505672272,0.0,0.06177853783668234,0.21025911487704313,0.13040082480362258,0.21602178546482323,0.30294249150726316,0.20798351638905702,0.12670698143605053,0.20616394417347347,-0.21620062222594272,0.2148350197209427,0.12593423884070531,67.2105545999948
continuo_q99_gate_faixa,0.21111161288390706,0.09466312615512562,0.06595685832388486,1.0933379568603172e-12,0.3276808614935689,0.08165882855921335,0.03933304831124412,0.21118764405059523,0.03754790744841252,0.21595190038353562,0.3099309996360239,0.2080504672003679,0.12001190030496156,0.20659982113029346,-0.2597883179079413,0.21362529195698435,0.24690701523654157,67.2105545999948
continuo_q95_gate_faixa,0.21112186213161854,0.0936382013839776,0.0660976989094713,1.1074938009101793e-12,0.3245055164808002,0.07994869602394186,0.03954681487815306,0.21095563672182566,0.06074864032536986,0.2159516707865911,0.3099539593304751,0.20808686905547372,0.11637171479438047,0.20686830245203583,-0.2866364500821783,0.21361036641400072,0.2483995695349045,67.2105545999948
utilidade_gate_faixa_preco,0.2111248110740227,0.09334330714356187,0.07149786688950464,2.5997116771829975e-09,0.2398222633873523,0.0,0.06306113723813596,0.2100952536044538,0.14678695206255532,0.21608390195130403,0.29673084285918305,0.20812905663841627,0.11215295650012502,0.20624037241419685,-0.22384344629828024,0.2149020865936282,0.11922755157215692,67.2105545999948
continuo_q99_gate_preco,0.2111257501385691,0.09324940068892174,0.0610903435841265,8.745567169546603e-09,0.11198653890121618,0.20008550662676358,0.05472424112868747,0.2109754305284639,0.058769259661545226,0.21594789746884666,0.3103312911049205,0.2076851443916338,0.15654418117837243,0.20564367033984562,-0.16417323886315782,0.21518190727049158,0.09124548388581843,67.2105545999948
continuo_q99_livre,0.2117940138409145,0.026423030454381102,0.05270367875020869,0.0,0.2344951180527047,0.7736212056434374,0.011543394613082514,0.21163840154712207,-0.0075278422042718285,0.21728600615181062,0.17652042280852376,0.2084263217146046,0.08242644888129258,0.20589319807519865,-0.1891260123984606,0.215511074236677,0.05832878726727553,67.2105545999948
