fold,rmspe_treino_limpo,rmspe_treino_com_recuperados,diferenca
1,0.24240181296406915,0.23831989775390436,-0.004081915210164794
2,0.2564117362093343,0.2603815143813787,0.003969778172044414
3,0.21885456243936885,0.21691580711146938,-0.0019387553278994718
4,0.22409731645406566,0.22437317145962418,0.0002758550055585174
5,0.22788955422994417,0.22882368498987027,0.0009341307599260995
