juiz,fold,centro,escala,rmspe
preco_generalista_invertido,1,-238895.64422491306,88939.27572355006,0.2142872302473449
preco_generalista_invertido,2,-244447.2318271115,43975.878288889886,0.21215605513132782
preco_generalista_invertido,3,-239728.5039793339,85228.51291025715,0.2144424718230451
preco_generalista_invertido,4,-244303.41966302047,86703.59074386954,0.21550924068884145
preco_generalista_invertido,5,-240931.33140035963,43703.49882638859,0.21217140388248543
classificador_barato,1,0.9155405321277412,0.22256510101580723,0.21440420592699044
classificador_barato,2,0.9119302280575772,0.2209847906285541,0.21188037893572076
classificador_barato,3,0.9121665998318262,0.22286705025589135,0.21447959804762104
classificador_barato,4,0.9101627596917476,0.2204617234321431,0.21568950863489364
classificador_barato,5,0.911924701498879,0.2233142772003689,0.21219210276085004
classificador_barato_utilidade,1,0.8993159629381849,0.21095926647639546,0.21446487856888471
classificador_barato_utilidade,2,0.8812634867442146,0.20853581242103528,0.2119158018318439
classificador_barato_utilidade,3,0.8890433706351236,0.21051446568598245,0.214555107485548
classificador_barato_utilidade,4,0.8826851007047576,0.2062269160112482,0.21573097147921552
classificador_barato_utilidade,5,0.8844627379503888,0.2101905008624793,0.21224301656351705
classificador_utilidade,1,0.5170965798162083,0.1041716870718006,0.21341205098962746
classificador_utilidade,2,0.5563945710081515,0.10423706965945584,0.21127629851712876
classificador_utilidade,3,0.5524255163319309,0.1036616871838621,0.2139910012153206
classificador_utilidade,4,0.5105807693420131,0.10354956239133409,0.21536129696398273
classificador_utilidade,5,0.5584338670708445,0.1027973499439514,0.2121715332798244
regressor_delta,1,0.035194072845304125,0.030857756443400674,0.2133695703152244
regressor_delta,2,0.03540420891139233,0.020741203981961047,0.21144776708180046
regressor_delta,3,0.03584136396725051,0.03048305737259962,0.21424566931688552
regressor_delta,4,0.03313805412482615,0.030727774134459117,0.21536932035110612
regressor_delta,5,0.0353027086126189,0.020128681064059142,0.2123430761872596
