nome,limite_preco,quantidade,rmspe,rmspe_calibrado_cf
log_a200_d6,250000,330,0.2665178066563301,0.2155509887121063
log_a200_d6,300000,695,0.23643904284100403,0.20226638465192723
log_a200_d6,355000,1178,0.21120419043115277,0.19184500095254547
log_a200_d6,400000,1657,0.1993391982170472,0.19089762157040238
log_a200_d6,500000,2316,0.19591819076525116,0.19944259720509344
log_a200_d6,830000,3515,0.20474898213033182,0.21430379714959763
log_a250_d6,250000,330,0.2505346813689169,0.21358811660906854
log_a250_d6,300000,695,0.22583778127442103,0.20207346716539723
log_a250_d6,355000,1178,0.20474456334534263,0.19233872362494775
log_a250_d6,400000,1657,0.19517124872483507,0.1912121888297463
log_a250_d6,500000,2316,0.19368876356275364,0.19920919215716137
log_a250_d6,830000,3515,0.20413891496220635,0.21489072605325588
log_a300_d6,250000,330,0.238919143585826,0.2128786175966089
log_a300_d6,300000,695,0.21816495869662475,0.20242991622438455
log_a300_d6,355000,1178,0.20073615684003154,0.19360702457081005
log_a300_d6,400000,1657,0.19337516248908762,0.19252322476392006
log_a300_d6,500000,2316,0.19397398277129307,0.2001768353304517
log_a300_d6,830000,3515,0.20539664982018369,0.21611259974839614
