nome,familia,limite_preco,quantidade,rmspe_bruto,rmspe_calibrado_cf
ref_xgb_thr900,referencia,600000,1913,0.3618682587965524,0.3460054825625632
ref_xgb_thr900,referencia,740000,1413,0.2531808057276089,0.24441456508018625
ref_xgb_thr900,referencia,830000,1174,0.21844644832720236,0.2142160004275148
ref_xgb_thr900,referencia,950000,947,0.20280923727288508,0.20334830942573925
ref_xgb_thr900,referencia,1000000,852,0.2021435020294705,0.20442930985919033
ref_xgb_thr900,referencia,1300000,516,0.23225879028524551,0.2381700845559816
ref_xgb_thr900,referencia,1500000,370,0.23780349031766293,0.24598657370489085
ref_xgb_thr900,referencia,2000000,194,0.25170657959123155,0.26096702984411524
ref_xgb_te950,referencia,600000,1913,0.4145440728818799,0.3787240889611163
ref_xgb_te950,referencia,740000,1413,0.2777617143845918,0.2562109344153964
ref_xgb_te950,referencia,830000,1174,0.2311933348301615,0.21900974458434064
ref_xgb_te950,referencia,950000,947,0.2065549032599108,0.20498708755285724
ref_xgb_te950,referencia,1000000,852,0.20155231028734397,0.20430289527236012
ref_xgb_te950,referencia,1300000,516,0.22728610034169205,0.23791733307907667
ref_xgb_te950,referencia,1500000,370,0.23048606702884525,0.24585299368502075
ref_xgb_te950,referencia,2000000,194,0.2452650996192471,0.2623003685502455
ref_xgb_feat_te950,referencia,600000,1913,0.41410824526496864,0.37372429742999286
ref_xgb_feat_te950,referencia,740000,1413,0.2798625190970831,0.2552118016990986
ref_xgb_feat_te950,referencia,830000,1174,0.23297586222305658,0.21853974187988798
ref_xgb_feat_te950,referencia,950000,947,0.2096196511059263,0.20654767745464558
ref_xgb_feat_te950,referencia,1000000,852,0.2063477031908915,0.2077281309330395
ref_xgb_feat_te950,referencia,1300000,516,0.2220450014805039,0.233432330111156
ref_xgb_feat_te950,referencia,1500000,370,0.2243893402520123,0.24105416693982934
ref_xgb_feat_te950,referencia,2000000,194,0.23785322684520457,0.2562684540636936
ref_lgb31_950,referencia,600000,1913,0.40780096203508887,0.37632972778010165
ref_lgb31_950,referencia,740000,1413,0.27872049889774847,0.2597314328142294
ref_lgb31_950,referencia,830000,1174,0.23454080255046564,0.22386731064896379
ref_lgb31_950,referencia,950000,947,0.20902464152667022,0.20762200452636048
ref_lgb31_950,referencia,1000000,852,0.20694833612840233,0.20913100934101242
ref_lgb31_950,referencia,1300000,516,0.22837383077295823,0.23806311043901104
ref_lgb31_950,referencia,1500000,370,0.2405709182557562,0.2539605419582708
ref_lgb31_950,referencia,2000000,194,0.2612356771829078,0.27700146515364643
xgb_thr850,xgb,600000,1913,0.3165272457601754,0.3158431117358379
xgb_thr850,xgb,740000,1413,0.23079343612724731,0.2311777210918944
xgb_thr850,xgb,830000,1174,0.2093997991335472,0.2100145096984589
xgb_thr850,xgb,950000,947,0.205926077237569,0.20700130992236354
xgb_thr850,xgb,1000000,852,0.20782872399678182,0.20904273942714227
xgb_thr850,xgb,1300000,516,0.24014053608881047,0.2417590994038183
xgb_thr850,xgb,1500000,370,0.24583978717894503,0.24741952511231394
xgb_thr850,xgb,2000000,194,0.26004489095697003,0.26144610995935824
xgb_thr875,xgb,600000,1913,0.3465798553054279,0.33584573646919796
xgb_thr875,xgb,740000,1413,0.24315695071229887,0.23773702918770953
xgb_thr875,xgb,830000,1174,0.21526331399959062,0.2128559672256619
xgb_thr875,xgb,950000,947,0.20406693507335769,0.2047696021897022
xgb_thr875,xgb,1000000,852,0.20464509413571916,0.20651915603476573
xgb_thr875,xgb,1300000,516,0.23500717816214095,0.23942766231706633
xgb_thr875,xgb,1500000,370,0.23865436234796172,0.24463812431230242
xgb_thr875,xgb,2000000,194,0.2510905345875562,0.2577629660301762
xgb_thr925,xgb,600000,1913,0.3972441457426054,0.36659804313568767
xgb_thr925,xgb,740000,1413,0.2724361350379413,0.25419214027150355
xgb_thr925,xgb,830000,1174,0.22890371429642992,0.218855075109471
xgb_thr925,xgb,950000,947,0.2063660669062291,0.2053449706857726
xgb_thr925,xgb,1000000,852,0.20304963568185622,0.20557315425046407
xgb_thr925,xgb,1300000,516,0.2305331834917995,0.23991477131078523
xgb_thr925,xgb,1500000,370,0.23615185686584497,0.24957040316247858
xgb_thr925,xgb,2000000,194,0.24779687248893295,0.2636458028830408
xgb900_d3_mc3_i1000,xgb900,600000,1913,0.3591179481828326,0.3468051751257107
xgb900_d3_mc3_i1000,xgb900,740000,1413,0.2522879704236885,0.24568234515296622
xgb900_d3_mc3_i1000,xgb900,830000,1174,0.21913497639589735,0.21610149047636398
xgb900_d3_mc3_i1000,xgb900,950000,947,0.20475415287125295,0.20556548802291816
xgb900_d3_mc3_i1000,xgb900,1000000,852,0.20430519003980385,0.2065837818872001
xgb900_d3_mc3_i1000,xgb900,1300000,516,0.2367597438585335,0.24200169386648515
xgb900_d3_mc3_i1000,xgb900,1500000,370,0.24472278124016356,0.25162007471061404
xgb900_d3_mc3_i1000,xgb900,2000000,194,0.25918073265796027,0.26679078044054394
xgb900_d4_mc3_i1000,xgb900,600000,1913,0.3735242228258087,0.34920929398599554
xgb900_d4_mc3_i1000,xgb900,740000,1413,0.25861363721008807,0.24476220189247702
xgb900_d4_mc3_i1000,xgb900,830000,1174,0.22375158878799484,0.21646592335468537
xgb900_d4_mc3_i1000,xgb900,950000,947,0.20611134159915204,0.205700087848937
xgb900_d4_mc3_i1000,xgb900,1000000,852,0.20528785475620953,0.20738091190690505
xgb900_d4_mc3_i1000,xgb900,1300000,516,0.2341169936999756,0.24129470777475961
xgb900_d4_mc3_i1000,xgb900,1500000,370,0.23628817239945588,0.2467545836730374
