limite,rmspe,quantidade_especialista,fracao_especialista
328600.0,0.20384464916605688,865,0.18490808037622916
329000.0,0.20385179489904565,866,0.1851218469431381
329900.0,0.20385471921254317,867,0.18533561351004701
328000.0,0.2038625328153786,863,0.18448054724241128
325000.0,0.2038657707566265,860,0.1838392475416845
328400.0,0.20386703776983342,864,0.18469431380932022
323000.0,0.20388756391455626,844,0.18041898247114152
340000.0,0.20388823353670588,1014,0.21675929884566053
326000.0,0.20389260439281484,862,0.18426678067550234
320000.0,0.20389335381523982,843,0.18020521590423258
324000.0,0.20389803363197812,845,0.18063274903805046
315000.0,0.20392881749760544,774,0.16545532278751604
319604.0,0.20393643952834842,781,0.16695168875587857
319000.0,0.20393861713158132,780,0.16673792218896966
315600.0,0.20394007792732785,775,0.16566908935442498
342900.0,0.20399252530404366,1018,0.2176143651132963
317000.0,0.20399682013888312,777,0.16609662248824283
343893.0,0.20399894972040705,1019,0.2178281316802052
331000.0,0.20406868951110965,936,0.20008550662676358
330000.0,0.20407901194779174,935,0.19987174005985464
331685.0,0.20411466200450107,937,0.20029927319367252
332700.0,0.20411543583686625,938,0.20051303976058144
334000.0,0.20412050980009355,939,0.20072680632749038
345000.0,0.20412100985117265,1030,0.2201795639162035
345500.0,0.20412589141035425,1031,0.22039333048311244
348000.0,0.20412949134319477,1034,0.22103463018383926
349000.0,0.20413923183696148,1041,0.2225309961522018
348285.0,0.2041464180450384,1035,0.22124839675074817
348769.0,0.2041614192618258,1036,0.2214621633176571
335000.0,0.20417718173175786,952,0.20350577169730655
314000.0,0.2042161291096032,753,0.1609662248824284
313458.0,0.20424079214536212,746,0.15946985891406584
336000.0,0.2042599973742929,955,0.20414707139803334
337000.0,0.2042647082109427,956,0.20436083796494228
313449.0,0.2042694675412697,744,0.15904232578024796
337657.0,0.2042712925125518,957,0.20457460453185122
339190.0,0.20427301368377054,960,0.20521590423257802
338000.0,0.2042751502358512,958,0.20478837109876016
339242.0,0.20427930015337034,961,0.20542967079948696
312000.0,0.20428050420231333,743,0.15882855921333902
310000.0,0.20428248302983454,742,0.1586147926464301
300930.0,0.2043711770449147,696,0.14878153056861906
300000.0,0.20437423603227076,695,0.14856776400171012
302000.0,0.2043777845644508,697,0.148995297135528
