limite_inferior_pred_pipeline,limite_superior_pred_pipeline,quantidade,peso_medio_especialista_caro,peso_p90_especialista_caro
0,900000.0,1572,0.003471018154522517,5.838868446353178e-06
900000,1100000.0,154,0.18040246551796407,0.4838341257383041
1100000,1400000.0,166,0.4294936671817792,0.6303327158330121
1400000,2000000.0,63,0.6592255602658783,0.8178375264976377
2000000,inf,45,0.6323756830678445,0.7532097600340957
