nome,fold,quantidade_baratos,rmspe_ate_355k,duracao_segundos
raw_a200_d6,1,220,0.24317672010638117,50.26532980000047
raw_a200_d6,2,259,0.2270812414477625,50.32888970000204
raw_a200_d6,3,216,0.2298438501970299,53.246229099997436
raw_a200_d6,4,214,0.202916317578118,55.400853899998765
raw_a200_d6,5,269,0.24652946895691147,53.14997230000154
raw_a250_d6,1,220,0.22127501066542993,51.04151989999809
raw_a250_d6,2,259,0.21354728262382128,50.31328709999798
raw_a250_d6,3,216,0.2157648443725046,51.4813542999982
raw_a250_d6,4,214,0.1876434071517535,50.69058610000502
raw_a250_d6,5,269,0.23152284741429496,51.36877920000552
raw_a300_d6,1,220,0.2079203626613481,51.437714899999264
raw_a300_d6,2,259,0.205198006904953,50.651071899999806
raw_a300_d6,3,216,0.2041831810225965,50.0364969000002
raw_a300_d6,4,214,0.18369817725442703,50.12125189999642
raw_a300_d6,5,269,0.22281169906116544,49.3562954999943
