alpha,modelo,rmspe_kfold,desvio_kfold,rmspe_oof,rmspe_bloco_id,rmspe_fold_1,rmspe_fold_2,rmspe_fold_3,rmspe_fold_4,rmspe_fold_5,peso_min,peso_mediano,peso_p99,peso_max
1.5,blend_50,0.21538716977788566,0.006993475283789954,0.21550142112688034,0.20909500645047116,0.21478079697566513,0.22323517644677465,0.2117972837558616,0.20453273912530062,0.22258985258582636,0.015310463190951603,0.7929533186928236,4.132401121326177,10.727835084482507
1.25,blend_50,0.21542176466665447,0.006589859436244735,0.21552298119446414,0.20852367743133576,0.21488143337571852,0.22149471301055287,0.2121706581123599,0.20514902610178185,0.22341299273285917,0.0321341540782454,0.8620173783437113,3.4117614356320622,7.555038308808012
1.0,blend_50,0.21728531146235017,0.007518684709913592,0.21741609685175914,0.20956749363890617,0.21742688101525,0.22497555581040093,0.21313388492079766,0.20545797027005042,0.22543226529525176,0.06637029034250694,0.9221739062180201,2.771935655481172,5.235878460353325
0.75,blend_50,0.21984271164844404,0.007274870647375521,0.21996325894759472,0.21105980573831035,0.21974327895017942,0.22436811850409558,0.21670554630374525,0.20839420616584758,0.23000240831835242,0.13473754126530182,0.9696562383185618,2.2135823762364457,3.566567907442675
0.5,blend_50,0.2231933973926364,0.006883832286261306,0.22329979174647763,0.21422086778788255,0.22194024104165233,0.22866658055339226,0.22043243853152222,0.21254614527088297,0.23238158156573213,0.2684534741893867,1.0006642325019521,1.7348971853091215,2.3843881148720945
0.25,blend_50,0.22770546066251982,0.005242087763925312,0.22776567905406053,0.21749346356614419,0.224583603405485,0.2327117736825804,0.22538221463510744,0.2209572695095136,0.23489244207991264,0.5240123277882069,1.01169854693181,1.332121571529407,1.5616922821580461
0.0,blend_50,0.2314245708087231,0.006132386270554629,0.23150580727631487,0.21857441145814305,0.22850449841882506,0.23542499154311505,0.23054002586511993,0.22230727254312768,0.24034606567342787,1.0,1.0,1.0,1.0
1.25,lightgbm,0.21695371508148914,0.005784618114637248,0.217031045479856,0.20835466016144275,0.2167660680172979,0.22089572667898827,0.21444120344530362,0.20782836176292613,0.22483721550292968,0.0321341540782454,0.8620173783437113,3.4117614356320622,7.555038308808012
1.5,lightgbm,0.21751374937226492,0.00671831333981903,0.21761824974688487,0.20944276589719127,0.21653136655823493,0.2254370362354532,0.2143243380458,0.20713136070867338,0.22414464531316322,0.015310463190951603,0.7929533186928236,4.132401121326177,10.727835084482507
1.0,lightgbm,0.21863683462546524,0.006579894355154466,0.21873657534084928,0.2099953505102998,0.22029752225950397,0.22441016225219645,0.21490435783257952,0.20785287512159442,0.2257192556614518,0.06637029034250694,0.9221739062180201,2.771935655481172,5.235878460353325
0.75,lightgbm,0.22149919123230974,0.006072114988693628,0.22158166583753983,0.21180024842401027,0.22027591294176993,0.22207781611215927,0.21891425580573917,0.2138775179152881,0.23235045338659222,0.13473754126530182,0.9696562383185618,2.2135823762364457,3.566567907442675
0.5,lightgbm,0.22450623795686536,0.006377311053827271,0.2245966805843339,0.21524903607727205,0.22401609016989377,0.22732082534208542,0.22187770190000955,0.21495692300221478,0.2343596493701232,0.2684534741893867,1.0006642325019521,1.7348971853091215,2.3843881148720945
0.25,lightgbm,0.2288196899608912,0.004419947720774955,0.22886226387209055,0.2202795678888887,0.22802968345228952,0.2309345744237425,0.22708767486544715,0.22233371123438522,0.2357128058285915,0.5240123277882069,1.01169854693181,1.332121571529407,1.5616922821580461
0.0,lightgbm,0.23295292468423648,0.00560836963395827,0.2330195953711728,0.2192873915262883,0.2308329554853849,0.2324075554688889,0.23192147099421953,0.22629895870791825,0.24330368276477085,1.0,1.0,1.0,1.0
1.5,xgboost,0.21543360334009581,0.007116547039352224,0.2155518109368363,0.21086855901812868,0.2153262329253055,0.22293121440933325,0.2114921107269358,0.20434124626227004,0.2230772123766344,0.015310463190951603,0.7929533186928236,4.132401121326177,10.727835084482507
1.25,xgboost,0.21592457112991167,0.007456007622521924,0.21605398485161167,0.2104870800270087,0.21490899183250387,0.22430793044408598,0.21212307042011017,0.2045019929050864,0.22378087004777208,0.0321341540782454,0.8620173783437113,3.4117614356320622,7.555038308808012
1.0,xgboost,0.21796942888709028,0.00848954490918303,0.21813547323428245,0.21118419874144534,0.21680937569540493,0.2276317158291896,0.21334955320759602,0.20514760768131768,0.22690889202194311,0.06637029034250694,0.9221739062180201,2.771935655481172,5.235878460353325
0.75,xgboost,0.22035522750632022,0.008821512440975506,0.22053292453955334,0.21304603227268118,0.2212469543212084,0.22895962683766258,0.21676714435040642,0.20548613745398678,0.22931627456833698,0.13473754126530182,0.9696562383185618,2.2135823762364457,3.566567907442675
0.5,xgboost,0.22411109369205184,0.007343625665259762,0.22423209122002843,0.21575467596404796,0.222311238478693,0.2324297863635079,0.2211068347494768,0.21281435056781628,0.2318932583007653,0.2684534741893867,1.0006642325019521,1.7348971853091215,2.3843881148720945
0.25,xgboost,0.2287310105528615,0.006276577459658002,0.22881702391371286,0.21756367191859094,0.22339160415322845,0.23670430057189035,0.2257235325751739,0.2219975549024896,0.23583806056152515,0.5240123277882069,1.01169854693181,1.332121571529407,1.5616922821580461
0.0,xgboost,0.23222643440871565,0.007253697306784429,0.232340488287337,0.2200758622278677,0.228138961114674,0.24057889652566014,0.23183677797935592,0.22109777726878135,0.23947975915510678,1.0,1.0,1.0,1.0
