nome,fold,quantidade_baratos,rmspe_ate_355k,duracao_segundos
log_a200_d6_rs025,1,220,0.21914867726967355,48.48450619999494
log_a200_d6_rs025,2,259,0.2110954891204541,49.21487799999886
log_a200_d6_rs025,3,216,0.20911852381837864,47.61504189999687
log_a200_d6_rs025,4,214,0.17872059674996393,47.60739779999858
log_a200_d6_rs025,5,269,0.22544738064222616,48.02458879999904
log_a200_d6_rs050,1,220,0.21657336126894358,47.27165000000241
log_a200_d6_rs050,2,259,0.21135642875678604,46.86152589999983
log_a200_d6_rs050,3,216,0.20795281713317035,47.22560330000124
log_a200_d6_rs050,4,214,0.1806189820680786,47.11708699999872
log_a200_d6_rs050,5,269,0.22448941908993836,48.05481839999993
log_a200_d7_i800_rs0,1,220,0.22262206726310274,46.81506110000191
log_a200_d7_i800_rs0,2,259,0.2095488527455757,47.03138290000061
log_a200_d7_i800_rs0,3,216,0.2141332064796326,45.21903310000198
log_a200_d7_i800_rs0,4,214,0.17707078463527476,44.846064799996384
log_a200_d7_i800_rs0,5,269,0.22361200697185532,45.3797029999987
