,alpha_0.00,alpha_0.25,alpha_0.50,alpha_0.75,alpha_1.00,alpha_1.25,alpha_1.50
alpha_0.00,1.0,0.9952834027369911,0.9891330354944446,0.9806269110550551,0.9702475584398028,0.9582473687968152,0.9457262937868096
alpha_0.25,0.9952834027369911,1.0,0.9937441331427992,0.9874075809108801,0.9778844578321987,0.9667139170500604,0.9543661962872273
alpha_0.50,0.9891330354944446,0.9937441331427992,1.0,0.9944750361020944,0.9873844021789097,0.9785052423930289,0.9673579518634237
alpha_0.75,0.9806269110550551,0.9874075809108801,0.9944750361020944,1.0,0.994235746298166,0.9878289143362705,0.978818562857174
alpha_1.00,0.9702475584398028,0.9778844578321987,0.9873844021789097,0.994235746298166,1.0,0.9944434915667827,0.9884197811599292
alpha_1.25,0.9582473687968152,0.9667139170500604,0.9785052423930289,0.9878289143362705,0.9944434915667827,1.0,0.9949002379012892
alpha_1.50,0.9457262937868096,0.9543661962872273,0.9673579518634237,0.978818562857174,0.9884197811599292,0.9949002379012892,1.0
