semente,estrategia,rmspe,ganho_pp_vs_base,folds_melhores,duracao_segundos
42,preco_puro,0.2104250226888681,0.1633221456590172,5,
42,utilidade_gate_faixa,0.2106871131169917,0.137113102846656,4,
42,faixa_pura,0.2108507556188754,0.1207488526582867,4,
42,continuo_q95_gate_preco,0.2110741865966626,0.0984057548795713,4,
42,continuo_q99_gate_faixa_preco,0.2110874687704196,0.0970775375038646,4,
42,continuo_q99_gate_faixa,0.211111612883907,0.0946631261551256,4,
42,continuo_q95_gate_faixa,0.2111218621316185,0.0936382013839776,4,
42,utilidade_gate_faixa_preco,0.2111248110740227,0.0933433071435618,4,
42,continuo_q99_gate_preco,0.2111257501385691,0.0932494006889217,4,
42,continuo_q99_livre,0.2117940138409145,0.0264230304543811,3,
7,utilidade_gate_faixa,0.21002124120847393,0.2037002936984389,5,110.8597974999866
7,faixa_pura,0.2101032759004694,0.19549682449889194,5,110.8597974999866
7,continuo_q99_gate_faixa,0.2101255685531831,0.19326755922752237,5,110.8597974999866
7,continuo_q95_gate_faixa,0.21016848052011405,0.1889763625344265,5,110.8597974999866
7,continuo_q95_gate_preco,0.21022528604644317,0.18329580990151528,5,110.8597974999866
7,continuo_q99_gate_preco,0.21026128793663545,0.1796956208822864,5,110.8597974999866
7,preco_puro,0.2103991929576578,0.16590511878005199,5,110.8597974999866
7,continuo_q99_gate_faixa_preco,0.2104391599015199,0.1619084243938418,4,110.8597974999866
7,utilidade_gate_faixa_preco,0.2106583835742191,0.13998605712392254,4,110.8597974999866
7,continuo_q99_livre,0.21069119365236014,0.1367050493098182,5,110.8597974999866
2026,utilidade_gate_faixa,0.21021295605894025,0.1845288086518071,5,49.350891200010665
2026,continuo_q99_gate_faixa,0.21056040478549037,0.14978393599679451,5,49.350891200010665
2026,continuo_q95_gate_faixa,0.2105666967702362,0.1491547375222113,5,49.350891200010665
2026,faixa_pura,0.21057417945698723,0.14840646884710929,5,49.350891200010665
2026,utilidade_gate_faixa_preco,0.21061924101347265,0.14390031319856667,3,49.350891200010665
2026,continuo_q99_gate_faixa_preco,0.2106618734749728,0.13963706704855083,3,49.350891200010665
2026,preco_puro,0.21078013561678302,0.1278108528675298,4,49.350891200010665
2026,continuo_q99_gate_preco,0.2112058826184541,0.0852361527004214,3,49.350891200010665
2026,continuo_q99_livre,0.2112283805691153,0.08298635763430151,5,49.350891200010665
2026,continuo_q95_gate_preco,0.21131087310458146,0.07473710408768541,3,49.350891200010665
