,alpha_0.00,alpha_1.00,alpha_1.50
alpha_0.00,1.0,0.9717353723103982,0.9402233006819274
alpha_1.00,0.9717353723103982,1.0,0.9876618098213623
alpha_1.50,0.9402233006819274,0.9876618098213623,1.0
