estrategia,rmspe_crossfit,media_r_crossfit,mediana_r_crossfit,p10_r_crossfit,p90_r_crossfit,fracao_r_zero,fracao_r_um,intercepto_final,inclinacao_final,rmspe_fold_1,rmspe_fold_2,rmspe_fold_3,rmspe_fold_4,rmspe_fold_5,tempo_cv_segundos
livre,0.21186471783511265,0.6612714221367706,0.662588553909462,0.5154759190595634,0.8050285401342776,0.0,0.011115861479264643,0.10000000000000009,1.0,0.21143541470450747,0.21894442714391063,0.20891643600015047,0.203289234056325,0.21637320947940575,111.18302440003026
ancorada_publico,0.21205824414545832,0.48690754433622996,0.4838838394614924,0.3507947501104285,0.6206738710638607,0.0,0.0025651988029072254,-0.2353295967382492,1.3,0.21156312312507936,0.2190512103798959,0.20925058620341752,0.20400193795121405,0.21609436210934976,111.18302440003026
estatico_ancora_publica,0.21240670265726977,0.4874518666234162,0.4874518666234162,0.4874518666234162,0.4874518666234162,0.0,0.0,0.4874518666234162,0.0,0.2116981743846049,0.2199872250721148,0.2093576909213886,0.20402104861711623,0.21659986268240486,111.18302440003026
estatico_40_atual,0.21287300085342017,0.4,0.4,0.4,0.4,0.0,0.0,0.4,0.0,0.21207394713756914,0.22040654613529978,0.2098579260215929,0.20476989932208947,0.21690399334399166,111.18302440003026
