nome,limite_preco,quantidade,rmspe,rmspe_calibrado_cf
raw_a200_d6,250000,330,0.30474974150880596,0.231385836854137
raw_a200_d6,300000,695,0.2637038786734016,0.21229489524126574
raw_a200_d6,355000,1178,0.2311419719247835,0.19877889468817134
raw_a200_d6,400000,1657,0.2152652039270549,0.19800882505669135
raw_a200_d6,500000,2316,0.20671559063928585,0.2059493568679797
raw_a200_d6,830000,3515,0.21292128556968554,0.2213586989446067
raw_a250_d6,250000,330,0.2759808149708727,0.221872941147852
raw_a250_d6,300000,695,0.2421432537620835,0.20510480735479344
raw_a250_d6,355000,1178,0.21527549279645203,0.193764153706906
raw_a250_d6,400000,1657,0.20257847835205908,0.19325051687189293
raw_a250_d6,500000,2316,0.19812624782104735,0.20194517595561406
raw_a250_d6,830000,3515,0.20604930797592097,0.21712698052707857
raw_a300_d6,250000,330,0.2591303104445772,0.21898282108805225
raw_a300_d6,300000,695,0.22982363884265095,0.2034251184047573
raw_a300_d6,355000,1178,0.20601618771589514,0.19215270667578385
raw_a300_d6,400000,1657,0.19613914340967717,0.19173936790493615
raw_a300_d6,500000,2316,0.1945730517529712,0.20053649969655174
raw_a300_d6,830000,3515,0.20419304686715925,0.21600974031184184
