estrategia,minimo_imoveis_bairro,n_features,bairros_mantidos_medio,rmspe_cv,desvio_rmspe_cv,rmspe_fold_1,rmspe_fold_2,rmspe_fold_3,rmspe_fold_4,rmspe_fold_5
categorico_min_10,10.0,26,33.4,0.23393099645935642,0.01369406836100629,0.24240181296406915,0.2564117362093343,0.21885456243936885,0.22409731645406566,0.22788955422994417
categorico_min_20,20.0,26,27.8,0.23409494419842,0.015153337275986643,0.24179495098352213,0.2597870270784588,0.21702303921550073,0.22449944738175256,0.22737025633286587
categorico_min_15,15.0,26,29.6,0.23415578455117383,0.014562358462029946,0.24103499858398184,0.25910082538588686,0.21791186918408592,0.2247081323725283,0.22802309722938638
categorico_sem_agrupamento,,26,64.8,0.2352049165798987,0.01475161870070919,0.24399348021581108,0.25934340510049575,0.21849801249055037,0.22413861634530705,0.2300510687473292
categorico_min_5,5.0,26,42.4,0.23532165954785725,0.015477623362996804,0.2467956184755621,0.25958385349004187,0.2183823295496297,0.22328912960217173,0.22855736662188092
one_hot_atual,,91,66.0,0.2407610221167961,0.015086543918169834,0.2452450211416766,0.2650985755973722,0.22469590510612977,0.22473539610431412,0.24403021263448774
