nome,fold,quantidade_baratos,rmspe_ate_355k,duracao_segundos
log_a200_d5_i1200,1,220,0.21838281106035654,47.49003950000042
log_a200_d5_i1200,2,259,0.21131794734266715,47.95462839999527
log_a200_d5_i1200,3,216,0.21468051247904507,48.314643100005924
log_a200_d5_i1200,4,214,0.1852602345482062,48.260185099999944
log_a200_d5_i1200,5,269,0.22776190230877125,47.838127399998484
log_a200_d7_i800,1,220,0.22030792278136382,56.44976039999892
log_a200_d7_i800,2,259,0.21183319622265465,59.613010799999756
log_a200_d7_i800,3,216,0.21033609848144877,59.04360650000308
log_a200_d7_i800,4,214,0.1844531910162654,59.79329050000524
log_a200_d7_i800,5,269,0.22688936611140334,51.99206720000075
log_a200_d6_l2_10,1,220,0.22107762408669063,58.938375700003235
log_a200_d6_l2_10,2,259,0.21051941477944183,52.63775489999534
log_a200_d6_l2_10,3,216,0.2103533533054904,51.20146609999938
log_a200_d6_l2_10,4,214,0.1851247656151964,51.70082910000201
log_a200_d6_l2_10,5,269,0.2264682148883041,52.92482569999993
