alpha,peso_correspondencia,fold,rmspe,quantidade_correspondencias,cobertura_correspondencias
1.0,0.0,1,0.22522881874898584,423,0.4519230769230769
1.0,0.15,1,0.22082203149392718,423,0.4519230769230769
1.0,0.3,1,0.2180218964661416,423,0.4519230769230769
1.0,0.0,2,0.23330081747803522,424,0.452991452991453
1.0,0.15,2,0.22855823027903732,424,0.452991452991453
1.0,0.3,2,0.22529784323394159,424,0.452991452991453
1.0,0.0,3,0.22451948185050302,411,0.4391025641025641
1.0,0.15,3,0.21948770656774402,411,0.4391025641025641
1.0,0.3,3,0.21614715275135052,411,0.4391025641025641
1.0,0.0,4,0.22266854722368684,431,0.46096256684491976
1.0,0.15,4,0.21755570531984025,431,0.46096256684491976
1.0,0.3,4,0.214136509145671,431,0.46096256684491976
1.0,0.0,5,0.22822289713848723,461,0.493048128342246
1.0,0.15,5,0.22532409860688576,461,0.493048128342246
1.0,0.3,5,0.22493184130860977,461,0.493048128342246
1.5,0.0,1,0.22594656028404317,423,0.4519230769230769
1.5,0.15,1,0.22074915343470294,423,0.4519230769230769
1.5,0.3,1,0.217328600516901,423,0.4519230769230769
1.5,0.0,2,0.23680404611967,424,0.452991452991453
1.5,0.15,2,0.23115324841117177,424,0.452991452991453
1.5,0.3,2,0.22711749661501662,424,0.452991452991453
1.5,0.0,3,0.22595145831463556,411,0.4391025641025641
1.5,0.15,3,0.2201465113371668,411,0.4391025641025641
1.5,0.3,3,0.21620634306379113,411,0.4391025641025641
1.5,0.0,4,0.22264260320484872,431,0.46096256684491976
1.5,0.15,4,0.2165020500730767,431,0.46096256684491976
1.5,0.3,4,0.2122790649298922,431,0.46096256684491976
1.5,0.0,5,0.22909437270876007,461,0.493048128342246
1.5,0.15,5,0.22507304416356166,461,0.493048128342246
1.5,0.3,5,0.22384011414100333,461,0.493048128342246
