tipo_blend,peso_categorico,peso_one_hot,rmspe_cv,desvio_rmspe_cv,rmspe_fold_1,rmspe_fold_2,rmspe_fold_3,rmspe_fold_4,rmspe_fold_5
logaritmico,0.9,0.09999999999999998,0.23323331250747698,0.012811414083420514,0.24083727483112813,0.2541146175703955,0.2183778521398958,0.22384527982186803,0.22899153817409743
logaritmico,0.8,0.19999999999999996,0.2332750282417861,0.012885082825950564,0.24039632591302576,0.2544216894924705,0.2184049496458922,0.22330792356936716,0.2298442525881748
aritmetico,0.9,0.09999999999999998,0.23334082012093535,0.01285632055873199,0.240963472220304,0.25429502274694643,0.2184354151688746,0.22389587192193505,0.22911431854661657
aritmetico,1.0,0.0,0.2333805716464999,0.012780713031016728,0.24149842966248994,0.25402199945976595,0.21851195249706223,0.22453605148692,0.22833442512626118
logaritmico,1.0,0.0,0.2333805716464999,0.012780713031016728,0.24149842966248994,0.25402199945976595,0.21851195249706223,0.22453605148692,0.22833442512626118
aritmetico,0.8,0.19999999999999996,0.23347653819412706,0.012969152448066084,0.2406307923812767,0.2547580812697067,0.2185152756391558,0.22340114056869498,0.23007740111180103
logaritmico,0.7000000000000001,0.29999999999999993,0.23350885482601208,0.013002682775360737,0.24017951751216707,0.2549476112536283,0.21859569296112852,0.22292589374269559,0.23089555866044095
aritmetico,0.7000000000000001,0.29999999999999993,0.23378738852594197,0.013118814039169334,0.24050122956479078,0.2554101414286339,0.21875136261758743,0.22305282524206596,0.23122138377663184
logaritmico,0.6000000000000001,0.3999999999999999,0.23393781119348578,0.013164926686410366,0.24019070418360086,0.2556966598190901,0.21895242953898258,0.2227009875565306,0.23214827486922493
aritmetico,0.6000000000000001,0.3999999999999999,0.2342726505604241,0.013304474891203559,0.2405751119398484,0.25624976041156977,0.21914317118765897,0.22285161248441743,0.23254359677862582
logaritmico,0.5,0.5,0.2345647870480473,0.01337227483707482,0.24043363251154656,0.25667298055614507,0.2194773985285318,0.22263487897859574,0.2336050446654174
aritmetico,0.5,0.5,0.2349312285287965,0.013524913152206714,0.24085225228368579,0.2572751019267096,0.21968986818024486,0.22279790084896625,0.23404101940437608
logaritmico,0.4,0.6,0.2353925329564633,0.013624947574663124,0.24091191556419933,0.25788057746272935,0.2201727246524735,0.2227291107344674,0.23526833636844702
aritmetico,0.4,0.6,0.2357616633134428,0.013778574328073922,0.24133195034627541,0.25848395583832773,0.220390300956418,0.22289179696855196,0.23571031245764099
logaritmico,0.30000000000000004,0.7,0.23642365296475001,0.013922950412357239,0.24162901032202205,0.25932330645258633,0.2210404139226731,0.2229850879409856,0.237140446185483
aritmetico,0.30000000000000004,0.7,0.23676214788665853,0.014063638784698329,0.2420130016513768,0.25987376122702754,0.2212430093856188,0.22313311449983864,0.23754785266943101
logaritmico,0.2,0.8,0.23766059992831515,0.014266108854648253,0.24258819861681932,0.2610048719179666,0.22208235130286816,0.22340407351337555,0.2392235042905461
aritmetico,0.2,0.8,0.23793054596143975,0.014378092332456509,0.24289371247778474,0.2614416323326365,0.22224624073330673,0.22352137596724286,0.2395497682962279
logaritmico,0.1,0.9,0.2391056736830434,0.014654109506307956,0.24379257203581528,0.26292882671070755,0.2233003003856341,0.22398718545564236,0.2415194838274175
aritmetico,0.1,0.9,0.2392644134295828,0.014719794958152815,0.24397192059073408,0.26318438679611045,0.22339796711229537,0.22405581746418568,0.24171197518458823
logaritmico,0.0,1.0,0.2407610221167961,0.015086543918169834,0.2452450211416766,0.2650985755973722,0.22469590510612977,0.22473539610431412,0.24403021263448774
aritmetico,0.0,1.0,0.2407610221167961,0.015086543918169834,0.2452450211416766,0.2650985755973722,0.22469590510612977,0.22473539610431412,0.24403021263448774
