nome,familia,rmspe_global_bruto,rmspe_950_bruto,rmspe_950_calibrado_cf,rmspe_1300_bruto,rmspe_1300_calibrado_cf,fator_final_950,fator_min_fold,fator_max_fold,media_razao_950_bruto,rmspe_fold_1,rmspe_fold_2,rmspe_fold_3,rmspe_fold_4,rmspe_fold_5,duracao_segundos
xgb_thr900,xgb,1.5301617327750092,0.20280923727288508,0.20334830942573925,0.23225879028524551,0.2381700845559816,0.981088252454083,0.9695115032516753,0.9938191521345857,0.9777151397029109,0.16854979461943626,0.20835414634546032,0.21577559292214785,0.21663718792892198,0.202652837892957,3.2193366000137758
xgb_target_encoding,xgb,1.7853709900425754,0.2065549032599108,0.20498708755285724,0.22728610034169205,0.23791733307907667,0.9626742602168382,0.9505990019728678,0.9782361873137749,0.9959510517473653,0.18363685321131315,0.20590689020061817,0.2129583529922873,0.22343757522092966,0.19563142731019267,2.342088400007924
xgb_d3_mc3_i1000,xgb,1.8019331993867127,0.2065142134556156,0.20547773560677454,0.22992865347196395,0.23933814178774726,0.9690321282406097,0.9586076788644431,0.9814285396078924,0.988956484583904,0.17744258590803058,0.21427775853829895,0.21532081811862983,0.21836413538634097,0.19773957571650722,1.7033276000001933
xgb_thr950,xgb,1.7386203076942015,0.20731054140923985,0.20580678599050137,0.2295765787596733,0.23944510429252527,0.9653188985108861,0.9538369549661704,0.9784809895660624,0.992686685944048,0.17573319819055733,0.21086535632751435,0.2168518675036552,0.22206026647453334,0.19901899505407197,1.4997656999912579
ref_xgb_raw_sub950,referencia,1.7386203076942015,0.20731054140923988,0.20580678599050137,0.2295765787596733,0.23944510429252527,0.965318898510886,0.9538369549661704,0.9784809895660624,0.992686685944048,0.17573319819055733,0.21086535632751435,0.21685186750365523,0.22206026647453334,0.19901899505407197,0.0
xgb_d4_mc3_i1000,xgb,1.8310298236597233,0.2090607873133339,0.20594546426312588,0.22857835136281413,0.23905162952031248,0.9569368427514605,0.9450673609476319,0.9699817171090815,1.0013556365643919,0.17369097923242383,0.21210697748477383,0.2179216408795387,0.22230622684195736,0.19866697869682107,2.774260799982585
xgb_d3_mc5_i1000,xgb,1.7244231373705878,0.20658062543373434,0.20617598313982383,0.23090990102404463,0.2397608976987953,0.9725500035204032,0.9610768552923905,0.9852234800071299,0.9851294948776373,0.1796703443287339,0.2122470894089021,0.21649272309436463,0.22077560627913337,0.19771727447107434,2.2992377000045963
xgb_features_caras_te,xgb,1.7415617689853398,0.2096196511059263,0.20654767745464558,0.2220450014805039,0.233432330111156,0.9582779463094052,0.9498049665829573,0.9704755296830833,0.9995798829156848,0.18126960065482697,0.22687467661302432,0.2146323892874118,0.2084845546151392,0.19667497616698387,2.4727144000062253
xgb_d4_mc10_i1000,xgb,1.69654826356309,0.20868606915456234,0.2076097430442566,0.22976986663212814,0.239449229054981,0.9675972991630212,0.9551157752800766,0.9805701501212223,0.9895892886318638,0.17858954194123514,0.2094468121610309,0.21888823412811084,0.22287282327095861,0.20450065583846594,2.302935999992769
lgb_l31_d7_mc40_i600,lgb,1.7382456751834732,0.20902464152667022,0.20762200452636048,0.22837383077295823,0.23806311043901104,0.9667823697305103,0.9538665110539709,0.9774031360461736,0.9903355936233669,0.1790793462062178,0.21011778629912406,0.21563777686897903,0.22143645182056862,0.20850557360476174,1.0923669000039808
