estrategia,fold,intercepto,inclinacao,rmspe,media_r_treino
livre,1,-0.22499999999999998,1.6,0.21177535187281438,0.671387903449406
livre,2,0.2250000000000001,0.8,0.2098696127997501,0.6700015910974252
livre,3,-0.125,1.4000000000000001,0.21240187034783434,0.6477700319243749
livre,4,-0.35,1.75,0.21379058062234996,0.6221891370559502
livre,5,-0.09999999999999998,1.4500000000000002,0.21054429805514552,0.7000920640078903
ancorada_publico,1,-0.3543177673725548,1.5,0.21214423300240723,0.4874518666234162
ancorada_publico,2,-0.06885509409962468,1.0,0.2102272838818904,0.4874518666234162
ancorada_publico,3,-0.31368862590127633,1.4500000000000002,0.21265734216503832,0.4874518666234162
ancorada_publico,4,-0.2639950264865646,1.35,0.21394603420690333,0.4874518666234162
ancorada_publico,5,-0.23161538375910712,1.3,0.21093897129155517,0.4874518666234161
