fold,rmspe_catboost,rmspe_blend_arvores,rmspe_generalista,duracao_arvores_segundos
1,0.217328600516901,0.21478079697566513,0.21258467405077663,2.559521199997107
2,0.22711749661501662,0.22323517644677465,0.22161622039081907,0.7479036000004271
3,0.21620634306379113,0.2117972837558616,0.2109360929091394,0.7526443000024301
4,0.2122790649298922,0.20453273912530062,0.20503832110208772,0.7305826000010711
5,0.22384011414100333,0.22258985258582636,0.2197266762471017,0.7297701999996207
