juiz,rmspe_crossfit,media_peso,mediana_peso,p90_peso,fracao_peso_maior_05,centro_final,escala_final,rmspe_fold_1,rmspe_fold_2,rmspe_fold_3,rmspe_fold_4,rmspe_fold_5
classificador_utilidade,0.21339444436723112,0.19434662928402607,0.1363083267495906,0.4499303682198882,0.0735356990166738,0.5553942650942953,0.10369869519792907,0.212811152481744,0.2210034112598819,0.2103049270054584,0.2048916177704554,0.21758732380880116
regressor_delta,0.2136000104827026,0.22971110355251365,0.22014974264693346,0.42400716958764073,0.052372808892689186,0.035162489238797674,0.030679486258507253,0.21351904747282302,0.22100419661061896,0.2098602156762809,0.20563127036347795,0.2176335073044406
classificador_barato,0.21373496445790513,0.08428081106116209,0.017330344118449782,0.3327769841747258,0.049807610089781955,0.9119722038608358,0.22204667447138987,0.21101733767203062,0.22099512325410645,0.21072736712607912,0.20573674347480447,0.21979901566511986
classificador_barato_utilidade,0.2137931581452205,0.08237496278762912,0.01783413189709224,0.2612298028736772,0.050021376656690895,0.8877529154409524,0.20930330300964212,0.21099194016183576,0.2211495339357328,0.21067769617461732,0.20587003058337208,0.21987396611773938
preco_generalista_invertido,0.21421171132214267,0.11482722650923463,0.02626306602218613,0.3738758825264778,0.05023514322359983,-240907.54443433654,87255.89499436005,0.21168421447174693,0.22063599338798737,0.2110532266260262,0.20686623494037282,0.22046617549756967
