tipo_faixa,faixa,quantidade,preco_real_min,preco_real_max,preco_previsto_geral_min,preco_previsto_geral_max,rmspe_generalista,rmspe_especialista,fracao_especialista_vence,delta_loss_medio
preco_real,"(89999.999, 275000.0]",477,90000.0,275000.0,120650.75057547798,577721.5833783023,0.28055518542497837,0.2060567543530975,0.6016771488469602,0.036251826054311216
preco_real,"(275000.0, 331274.0]",459,278000.0,331000.0,149971.2933347331,572577.2991927572,0.18943469695481488,0.1759370961775635,0.47058823529411764,0.004931642598969318
preco_real,"(331274.0, 380000.0]",508,331685.0,380000.0,204409.0569949327,598843.2044449484,0.14880348018374795,0.1791981232704573,0.3188976377952756,-0.009969491668858944
preco_real,"(380000.0, 440000.0]",446,381000.0,440000.0,245090.8547426939,723281.0324235512,0.16087137303935986,0.203909057902069,0.226457399103139,-0.015699305230940454
preco_real,"(440000.0, 511000.0]",449,440388.0,510000.0,246987.00199971045,940368.71647676,0.182860849856126,0.23083493423191256,0.23385300668151449,-0.01984667645174674
preco_real,"(511000.0, 600000.0]",481,512000.0,600000.0,225311.39710618992,1375751.4666317874,0.21881694228590562,0.24230942465468275,0.2515592515592516,-0.010833003045130038
preco_real,"(600000.0, 740000.0]",457,602897.0,740000.0,279489.3137068409,1379545.4905787334,0.19787845639909382,0.24474095484586303,0.26914660831509846,-0.020742251471976687
preco_real,"(740000.0, 950000.0]",502,745000.0,950000.0,342072.9421726429,1625022.5300239986,0.20377773367393676,0.2363343337863035,0.3346613545816733,-0.014328552584930024
preco_real,"(950000.0, 1300000.0]",436,955000.0,1300000.0,482107.65915414586,1756586.8909163354,0.19964688740188388,0.2621605011425779,0.2018348623853211,-0.028869248710067068
preco_real,"(1300000.0, 7100000.0]",463,1307550.0,7100000.0,563815.3374519643,4119593.828566204,0.30615114805103133,0.44261162022489087,0.04967602591792657,-0.10217652090513853
preco_previsto,"(120650.75, 278313.978]",468,90000.0,570000.0,120650.75057547798,278132.10699776025,0.22345507462222777,0.2374802365673179,0.33760683760683763,-0.006464692385643877
preco_previsto,"(278313.978, 333776.363]",468,147000.0,620000.0,278391.9233061308,333626.4576393224,0.20123873710707205,0.2239983583844533,0.3034188034188034,-0.009678235246480722
preco_previsto,"(333776.363, 371708.671]",468,210000.0,900000.0,334001.221398226,371703.3943391708,0.179179143985195,0.2187153374530669,0.2799145299145299,-0.015731233197941688
preco_previsto,"(371708.671, 411670.459]",467,200000.0,900000.0,371756.16045511793,411572.8762468401,0.18092877609531946,0.20111376740096373,0.3169164882226981,-0.007711525418858705
preco_previsto,"(411670.459, 487661.932]",468,250000.0,1200000.0,411694.8547497572,487484.55878324143,0.19962942541578554,0.22817157693331505,0.297008547008547,-0.012210361028399013
preco_previsto,"(487661.932, 566407.917]",468,270000.0,1500000.0,487839.30510073097,566384.0112560298,0.19106516678687288,0.2404769333312046,0.23076923076923078,-0.02132325750508507
preco_previsto,"(566407.917, 703996.533]",467,250000.0,1650000.0,566503.537632663,703881.0868140836,0.21056768761961725,0.2314216255843734,0.3169164882226981,-0.009217217718641198
preco_previsto,"(703996.533, 902688.818]",468,400000.0,2800000.0,704009.3601150208,902247.697488562,0.21294347257473176,0.23851653083081192,0.36538461538461536,-0.011545212967380127
preco_previsto,"(902688.818, 1178419.257]",468,499000.0,3800000.0,902982.8985675646,1178268.5842943597,0.2348375167974818,0.27555439100350215,0.3141025641025641,-0.020781563105703407
preco_previsto,"(1178419.257, 4119593.829]",468,550000.0,7100000.0,1178770.8249950982,4119593.828566204,0.2859249492853869,0.3806603796207492,0.21794871794871795,-0.06314924798916183
