avaliacao,fracao_top,peso_especialista,quantidade_selecionada,rmspe_base,rmspe_gate,ganho_pp,preco_previsto_minimo_selecionado,preco_real_mediano_selecionado,proporcao_real_acima_1m,proporcao_real_acima_1300,proporcao_real_acima_1500,proporcao_real_acima_2m,ganho_fold_1_pp,ganho_fold_2_pp,ganho_fold_3_pp,ganho_fold_4_pp,ganho_fold_5_pp
oof_por_fold,0.01,0.1,50,0.21205824414545832,0.212025256087986,0.0032988057472316257,2217801.0375829097,3475000.0,1.0,1.0,1.0,0.94,0.005234506944989947,-0.000940224342776963,0.0073960070778977816,-0.0017945633166122077,0.006546666371051724
oof_por_fold,0.01,0.2,50,0.21205824414545832,0.21199515842510575,0.006308572035257365,2217801.0375829097,3475000.0,1.0,1.0,1.0,0.94,0.010136890316295166,-0.0021604880501624457,0.01450410623186904,-0.0038602047917724036,0.012822342464943737
oof_por_fold,0.01,0.25,50,0.21205824414545832,0.21198119388099299,0.0077050264465333695,2217801.0375829097,3475000.0,1.0,1.0,1.0,0.94,0.012463462857603691,-0.0028756204619007075,0.01795009810621473,-0.004994654534357101,0.015858484924649585
oof_por_fold,0.01,0.3333333333333333,50,0.21205824414545832,0.21195952648841135,0.009871765704697055,2217801.0375829097,3475000.0,1.0,1.0,1.0,0.94,0.016156367703862307,-0.004223040695644498,0.023533209029652502,-0.007035926729551112,0.020767963165863046
oof_por_fold,0.01,0.5,50,0.21205824414545832,0.21192221952769577,0.013602461776254793,2217801.0375829097,3475000.0,1.0,1.0,1.0,0.94,0.0228490659738817,-0.007500993834655412,0.03409807686748645,-0.011682721190914291,0.030021115865999648
oof_por_fold,0.01,0.75,50,0.21205824414545832,0.211881336179136,0.017690796632233163,2217801.0375829097,3475000.0,1.0,1.0,1.0,0.94,0.031153744780856862,-0.013875012413294696,0.04843975448771132,-0.02006253608468067,0.042484551912960744
oof_por_fold,0.01,1.0,50,0.21205824414545832,0.21185855430863448,0.019968983682383534,2217801.0375829097,3475000.0,1.0,1.0,1.0,0.94,0.03737504440940176,-0.021996151250888718,0.060971406089202485,-0.030132017525458243,0.053245845725402585
oof_por_fold,0.015,0.1,75,0.21205824414545832,0.21203727468678027,0.0020969458678049557,1993031.573245096,3100000.0,1.0,1.0,0.9866666666666667,0.92,0.009257534897769149,0.0039595411068044095,-0.010924949245363913,-0.0013215967274687879,0.00904882810498775
oof_por_fold,0.015,0.2,75,0.21205824414545832,0.21202515167196648,0.003309247349184141,1993031.573245096,3100000.0,1.0,1.0,0.9866666666666667,0.92,0.017812973711556213,0.007454461884778829,-0.023720192598292167,-0.002995548362696998,0.017073766900335685
oof_por_fold,0.015,0.25,75,0.21205824414545832,0.2120224080984718,0.003583604698650933,1993031.573245096,3100000.0,1.0,1.0,0.9866666666666667,0.92,0.02182713790201407,0.009027618970242068,-0.030818123534545605,-0.003964630883368514,0.020701915304774388
oof_por_fold,0.015,0.3333333333333333,75,0.21205824414545832,0.21202275125039904,0.0035492895059274776,1993031.573245096,3100000.0,1.0,1.0,0.9866666666666667,0.92,0.028126611933104728,0.011391233208038476,-0.04368387371214144,-0.005775439006286409,0.026179015601510147
oof_por_fold,0.015,0.5,75,0.21205824414545832,0.21204187092783433,0.0016373217623988356,1993031.573245096,3100000.0,1.0,1.0,0.9866666666666667,0.92,0.039258530303273864,0.015149424752908258,-0.07329099892508795,-0.010130574520414437,0.0349945507768179
oof_por_fold,0.015,0.75,75,0.21205824414545832,0.21211661741164717,-0.005837326618884919,1993031.573245096,3100000.0,1.0,1.0,0.9866666666666667,0.92,0.052283284878276715,0.01836297904833084,-0.12734808649402518,-0.018495836683796174,0.04286516370513305
oof_por_fold,0.015,1.0,75,0.21205824414545832,0.21224658914249517,-0.018834499703684893,1993031.573245096,3100000.0,1.0,1.0,0.9866666666666667,0.92,0.06089323937335245,0.01866700081422923,-0.19290042772242555,-0.029057715677638374,0.044306722562934
oof_por_fold,0.02,0.1,95,0.21205824414545832,0.21200067368359043,0.005757046186788406,1841404.257894382,3000000.0,1.0,1.0,0.9894736842105263,0.9157894736842105,0.018545960470003897,0.008238625184192605,-0.007041979964203526,-0.0035454283114771945,0.011912645080452977
oof_por_fold,0.02,0.2,95,0.21205824414545832,0.2119540154367078,0.010422870875051449,1841404.257894382,3000000.0,1.0,1.0,0.9894736842105263,0.9157894736842105,0.03593610190529006,0.01590427107640291,-0.01616655464821981,-0.007533820600924557,0.02264043080778544
oof_por_fold,0.02,0.25,95,0.21205824414545832,0.21193478071194596,0.012346343351235523,1841404.257894382,3000000.0,1.0,1.0,0.9894736842105263,0.9157894736842105,0.044196840519739045,0.01952203688168619,-0.021508988772137028,-0.009694048212435802,0.027559441638635995
oof_por_fold,0.02,0.3333333333333333,95,0.21205824414545832,0.21190879121294018,0.01494529325181404,1841404.257894382,3000000.0,1.0,1.0,0.9894736842105263,0.9157894736842105,0.05732010414766786,0.02523279673387613,-0.03156745482801038,-0.01354027915661249,0.035098003732042526
oof_por_fold,0.02,0.5,95,0.21205824414545832,0.21187957764571744,0.017866649974088156,1841404.257894382,3000000.0,1.0,1.0,0.9894736842105263,0.9157894736842105,0.0811439511413714,0.035457533043156686,-0.056005574899545274,-0.022154041951988335,0.04769792314020249
oof_por_fold,0.02,0.75,95,0.21205824414545832,0.21189268829710886,0.01655558483494579,1841404.257894382,3000000.0,1.0,1.0,0.9894736842105263,0.9157894736842105,0.11080314935098257,0.04779864397604083,-0.10342584120968112,-0.037374922349836526,0.060394638900881925
oof_por_fold,0.02,1.0,95,0.21205824414545832,0.21197409999045888,0.008414415499943817,1841404.257894382,3000000.0,1.0,1.0,0.9894736842105263,0.9157894736842105,0.13314359006519894,0.05653927884384791,-0.16368260709523075,-0.05535052631611692,0.06563643162982302
oof_por_fold,0.025,0.1,120,0.21205824414545832,0.2119402590991001,0.011798504635820994,1664893.7612170908,2947500.0,1.0,1.0,0.9916666666666667,0.9083333333333333,0.02048201950347328,0.012832308390894887,-0.0017008689717074033,0.00719608133955274,0.019695069897793238
oof_por_fold,0.025,0.2,120,0.21205824414545832,0.2118372347745198,0.022100937093852413,1664893.7612170908,2947500.0,1.0,1.0,0.9916666666666667,0.9083333333333333,0.03943787949214628,0.024803536529233172,-0.0057901251019010225,0.013291203946097507,0.03778522150738595
oof_por_fold,0.025,0.25,120,0.21205824414545832,0.21179133982942766,0.026690431603065834,1664893.7612170908,2947500.0,1.0,1.0,0.9916666666666667,0.9083333333333333,0.04834220184057603,0.03046579974507191,-0.008729992891007288,0.015925590132206957,0.04622717668362475
oof_por_fold,0.025,0.3333333333333333,120,0.21205824414545832,0.21172317853299902,0.0335065612459301,1664893.7612170908,2947500.0,1.0,1.0,0.9916666666666667,0.9083333333333333,0.062331269973286973,0.03942328606671708,-0.014955199365851435,0.01970375003953473,0.059401950015211535
oof_por_fold,0.025,0.5,120,0.21205824414545832,0.21161812877108085,0.04401153743774644,1664893.7612170908,2947500.0,1.0,1.0,0.9916666666666667,0.9083333333333333,0.08710896820628977,0.055537095057020536,-0.03237015279904387,0.024961831359959774,0.08238750079758994
oof_por_fold,0.025,0.75,120,0.21205824414545832,0.21153884112272098,0.05194030227373414,1664893.7612170908,2947500.0,1.0,1.0,0.9916666666666667,0.9083333333333333,0.11624737020106968,0.07519529944046699,-0.0708701159158387,0.027099556617327103,0.10843018107921931
