nome,familia,rmspe_global_bruto,rmspe_950_bruto,rmspe_950_calibrado_cf,rmspe_1300_bruto,rmspe_1300_calibrado_cf,fator_final_950,fator_min_fold,fator_max_fold,media_razao_950_bruto,rmspe_fold_1,rmspe_fold_2,rmspe_fold_3,rmspe_fold_4,rmspe_fold_5,duracao_grupo_segundos
xgb_raw_sub950_rmspe,xgb,1.7386203076942015,0.20731054140923985,0.20580678599050137,0.2295765787596733,0.23944510429252527,0.9653188985108861,0.9538369549661704,0.9784809895660624,0.992686685944048,0.17573319819055733,0.21086535632751435,0.2168518675036552,0.22206026647453334,0.19901899505407197,2.057415300019784
blend50_raw_sub950_rmspe,blend50,1.7349368705195738,0.2079833571283173,0.20651016124822327,0.23134829652909844,0.24087482030293988,0.9662594456346059,0.954502762137572,0.9785255368281516,0.9913599554931085,0.17714240076954244,0.21184797584339995,0.21518112166834713,0.22251306767369333,0.2016731944426296,2.057415300019784
xgb_raw_sub830_rmspe,xgb,1.430994929821439,0.20620507436028687,0.20728132066201635,0.24052734459161337,0.2413913127628016,1.0018778922465794,0.9912763094296132,1.012069259604043,0.9556881518350274,0.17237612856766243,0.21249636197623203,0.2222690905450219,0.21708810004823795,0.2076606090664674,2.242819100007182
blend50_raw_sub830_rmspe,blend50,1.4140953043028395,0.2077414155244462,0.20865817529069158,0.243822375236181,0.2441291229897729,1.0034956231890033,0.9932573708143528,1.0131673514360116,0.9535219616569097,0.1743309201087776,0.213338583386317,0.2205649491053211,0.21817935833083743,0.2127835189548673,2.242819100007182
lgb_raw_sub950_rmspe,lgb,1.7333775289597484,0.21283107579455984,0.2111810204352006,0.2366570666253754,0.24600356756294753,0.9655436425390183,0.9535358737778233,0.9769187373634596,0.9900332250421691,0.18308858983848111,0.21667511101531187,0.21751223280219006,0.2268418461623836,0.2079968683259956,2.057415300019784
lgb_raw_sub830_rmspe,lgb,1.3987021938178332,0.21362114171522545,0.2144423174022785,0.2503513575818677,0.2506232126257141,1.0031741978234023,0.9932574448523848,1.0124816813664002,0.9513557714787918,0.18096862574545525,0.21793451160376662,0.22259483928256643,0.22491162319262423,0.22209974316696524,2.242819100007182
cat_log_sub950,cat,1.7905865474043938,0.23021935795328966,0.21840236528130297,0.24136706033837824,0.256128767291396,0.9275028748926715,0.9185950277909792,0.9384319052717304,1.027296411797234,0.19417749467035705,0.23700629004295481,0.23773718859594364,0.21213942084726833,0.2061871222290067,2.177546099992469
blend50_log_sub950,blend50,1.7488928568739794,0.228060651155231,0.21907341458805044,0.2523452080995829,0.26174253329951275,0.9331406796326102,0.9191580471350611,0.9448025880508668,1.0211537785562397,0.17376732245141613,0.21289261479651278,0.28157214814484977,0.2118311076476776,0.20158716538958643,2.177546099992469
lgb_log_sub950,lgb,1.7386373319327366,0.2285487580065349,0.21937502778395693,0.25085817029697727,0.2606524471686918,0.9332443475671266,0.9203435505930931,0.9435928105701574,1.0207828078968102,0.17555295767910412,0.21620583629208187,0.2731559421837002,0.21449211425321063,0.20654810641893936,2.177546099992469
cat_log_sub830,cat,1.4205362418539131,0.2216041181364482,0.21947856551443043,0.2485866764113114,0.2560872384841537,0.9634826338228722,0.9556414708698615,0.9732466725194662,0.9883515483362992,0.19001364528767029,0.23792446812293064,0.24503477568233645,0.2096178504863091,0.20898160631819881,2.567558199982159
blend50_log_sub830,blend50,1.4020621554073707,0.22195278087765213,0.22067481860224472,0.2592985550512848,0.2646548757467519,0.9638235898436783,0.9508587853756979,0.9767924785358638,0.987813829222282,0.16934383342844164,0.2111176727759769,0.2862219244794222,0.21129084655103467,0.21033256768621575,2.567558199982159
lgb_log_sub830,lgb,1.392742488265364,0.22220204549522216,0.22091509909265405,0.25757253748074227,0.26282554539173997,0.9651269346890159,0.9527356646094762,0.9758917826838852,0.9862630297409898,0.17048690004783149,0.21442552392423173,0.2748021237956175,0.21883511168242623,0.21424635446513735,2.567558199982159
xgb_log_sub950,xgb,1.7627319710514509,0.2328975875065843,0.22366483448041113,0.2590225263392116,0.26773121072870615,0.930951725341494,0.9158046844283828,0.9441588226402768,1.0215247492156694,0.1776014400182226,0.21356100646574955,0.2952130919201816,0.2144823415516033,0.20080398706812294,2.177546099992469
xgb_log_sub830,xgb,1.4130993960126847,0.22684853106548483,0.22530398125730222,0.2660933415021391,0.2714534508668075,0.9603714809586085,0.946769264026539,0.975593401411375,0.9893646287035744,0.17226449987974693,0.21202943564719112,0.3013202237348996,0.21079108513634226,0.2115328763822214,2.567558199982159
baseline_arvores_corr30,baseline,0.21550142112688034,0.24446087435054198,0.22875282442116596,0.27824118840781303,0.24611069249401682,1.0998671587201514,1.0921117843092552,1.1125708739958458,0.8619723979164238,0.2114741246281092,0.2342681302655929,0.24098496429550564,0.22535456091346534,0.23043356584433383,0.0
baseline_atual_21_19,baseline,0.21205824414545832,0.26032108860018205,0.2332368397600302,0.3005737899191134,0.25357951456734307,1.1374480037546102,1.1275592386690976,1.1521196905353481,0.8317278271806361,0.21523323790997675,0.24069928204437605,0.24253735525532386,0.23723899710139296,0.2286033576212874,0.0
blend50_log_all_bm05,blend50,0.22570687572217124,0.23572654940223395,0.23482160242485567,0.2630282680189505,0.2576263628709917,1.0355325763795749,1.0246336781334935,1.0497510425393537,0.9131014382074895,0.21427894365020952,0.23259224858357064,0.2539560586849704,0.23972921771900782,0.23178790267255733,15.068628200009698
lgb_log_all_bm05,lgb,0.2272306481510116,0.23743725906530955,0.23647880423025466,0.26389130206267836,0.2584895345408274,1.0354158129198352,1.023557151137277,1.0483149233150646,0.9124149114333563,0.21889706308206489,0.23450961072133208,0.25106968409994485,0.23818878543679184,0.23880425504851582,15.068628200009698
xgb_log_all_bm05,xgb,0.22660582467535753,0.23752950642998943,0.2369847005255215,0.26620680799228263,0.26151444521145967,1.0337012407012922,1.0233812965471751,1.049317052504244,0.9137879649816228,0.21408218580496718,0.23484485597637703,0.2601428102480811,0.24572427096083932,0.2272217699899538,15.068628200009698
blend50_log_all_b000,blend50,0.2336606588550593,0.2367610245276229,0.23830633642351298,0.26304272091435843,0.2640114070976712,1.0079620326368637,0.9961682534570603,1.0225101257164442,0.9365463073989804,0.21309081771257557,0.23289990199138572,0.26469213552263193,0.2480972932443191,0.22946598434561308,2.966669899993576
xgb_log_all_b000,xgb,0.2343880136496512,0.23764423169200133,0.23913913495318978,0.26585618374257053,0.2669063226027268,1.0077960461414994,0.9975549696799902,1.0223216879659431,0.9362823839540716,0.21046799057267387,0.2354477892501804,0.2699670286829394,0.2480493831647062,0.22738987018046608,2.966669899993576
lgb_log_all_b000,lgb,0.2354833187791038,0.24006847813708354,0.24175154672016622,0.2646850115735338,0.2659433126923308,1.0059671141535163,0.9926153678570516,1.0205880589445289,0.9368102308438889,0.2190676037832615,0.23445298790599886,0.2645628359528252,0.2527675811467367,0.2353703599513684,2.966669899993576
baseline_xgb_alpha150,baseline,0.22010645200642315,0.2622399177118749,0.24321030605790642,0.30382833814514587,0.2659574702105111,1.1154749021006791,1.1063980111401959,1.13007554599212,0.8438718956228909,0.22951839806365168,0.24799706453031184,0.25238953298854877,0.24254869258840545,0.24269444351565467,0.0
baseline_lgb_alpha150,baseline,0.2221786826896093,0.2628901056402014,0.24776289545686403,0.30164724918140945,0.27114059608121954,1.10291480484641,1.0948195552605573,1.1165950932798299,0.8514395587093825,0.2273248851561547,0.2547964568639051,0.2571635768740452,0.24635325998824908,0.2516801195072511,0.0
blend50_log_all_b050,blend50,0.24650130373531126,0.2494983158167062,0.25109757258078913,0.2818680632455536,0.28579920272844445,0.9804826946568453,0.9665881486495647,0.99573761692397,0.9567964008075616,0.21387767183873754,0.234517465454736,0.3224412490430539,0.24262618359041338,0.22901962579645024,2.8985711999994237
lgb_log_all_b050,lgb,0.24803217609763867,0.2504321354675927,0.2518465981222795,0.28007542886121356,0.28400038412788126,0.9787995748143006,0.9645135109920644,0.9926400002569095,0.958034405059963,0.21918831808888084,0.23641094480703384,0.3129421140542032,0.2462303175425434,0.23523792564014526,2.8985711999994237
cat_log_all_b000,cat,0.2433941546721407,0.25130926515664875,0.2527081886926274,0.27428111007087974,0.2746866431263217,1.0080104210331648,0.9985485789993832,1.0247323259748249,0.9294574739535971,0.2343445775973125,0.2591250168312302,0.26456227889928796,0.2633413483676882,0.23939716093250962,2.966669899993576
xgb_log_all_b050,xgb,0.24751559753930896,0.252340338118051,0.2540103928720422,0.2876205845230741,0.2915954907392941,0.980268576139674,0.9666946858520856,0.9971298265306946,0.9555583965551602,0.21242978104359417,0.23577474653082686,0.33563603054256225,0.24313828852584715,0.22582095777463274,2.8985711999994237
