alpha,fold,rmspe_validacao,rmspe_treino,duracao_segundos
0.0,1,0.24439540964514528,0.22157627614565287,48.07449170000109
0.0,2,0.24426714322496862,0.21995803185222668,45.806870000000345
0.0,3,0.2413332833023285,0.22099636166139613,80.92434099999991
0.0,4,0.2392478848348059,0.22170828132720763,44.54160220000085
0.0,5,0.24674846325912694,0.2167900975793422,106.14393700000073
1.0,1,0.22522881874898584,0.20468725574687763,43.46057810000093
1.0,2,0.23330081747803522,0.20515743296171682,42.033454500000516
1.0,3,0.22451948185050302,0.20585223148625864,74.65026360000047
1.0,4,0.22266854722368684,0.20776830282077022,85.8362447999989
1.0,5,0.22822289713848723,0.20575576520657887,82.15217019999909
1.5,1,0.22594656028404317,0.20938539408734202,79.99518029999854
1.5,2,0.23680404611967,0.21205741747845314,76.13294750000023
1.5,3,0.22595145831463556,0.2106360637267977,73.08259879999969
1.5,4,0.22264260320484872,0.21358323046949898,47.62975149999875
1.5,5,0.22909437270876007,0.21161949295034502,62.306739199999356
